method,0
B01,71.5686990383334
B02,50.40976203265466
M00,10.346173227425755
M01,27.794884455415584
M02,19.616196208879742
M03,21.50152123091544
M04,40.139278757567496
M04np,40.139278757567496
M05,18.92020936889905
M05f,17.76096474495189
M06,22.21825428709678
M06-L3,26.058118877087146
M06-L5,26.214160834624103
M06-L6,37.35306021994691
M07,20.06560879683709
M08,23.510808635150557
M08-L3,28.587068537625406
M08-L5,24.729876109669682
M08-L6,38.369135619190686
M09,23.34930451144196
M10,20.589286043641046
M_FE,147.293903123533
