snr_in,method,metric,n,mean,std,median,baseline_mean,delta_mean,stat,p,effect_r,p_holm
-5.0,B02,snr_imp_scaled,22,19.864290511252026,7.952666664129291,16.368051401438237,14.249626137181922,5.614664374070105,0.0,4.76837158203125e-07,1.0,6.198883056640625e-06
-5.0,M06,snr_imp_scaled,22,18.968371298227922,3.4785410729784414,18.58783833396323,14.249626137181922,4.718745161046004,17.0,9.870529174804688e-05,0.8656126482213439,0.0008883476257324219
-5.0,B01,snr_imp_scaled,22,18.360119081480754,5.84543768970369,18.452975655411606,14.249626137181922,4.110492944298839,0.0,4.76837158203125e-07,1.0,6.198883056640625e-06
-5.0,M08,snr_imp_scaled,22,18.332881525221424,3.6972575135055967,18.04363233931478,14.249626137181922,4.083255388039498,20.0,0.00017690658569335938,0.841897233201581,0.001415252685546875
-5.0,M07,snr_imp_scaled,22,17.9036685304639,3.2815037073700104,17.64802305359965,14.249626137181922,3.6540423932819768,29.0,0.0008091926574707031,0.7707509881422925,0.004856586456298828
-5.0,M05,snr_imp_scaled,22,14.488104340073162,3.4094922875648894,14.372103206132088,14.249626137181922,0.2384782028912415,111.0,0.6327285766601562,0.1225296442687747,1.0
-5.0,M02,snr_imp_scaled,22,13.65015059722478,3.8875300294050175,11.643841489970832,14.249626137181922,-0.5994755399571405,98.0,0.3705310821533203,-0.22529644268774704,1.0
-5.0,M04,snr_imp_scaled,22,13.121429294916915,5.943540228237927,10.242307525676114,14.249626137181922,-1.1281968422650062,28.0,0.0006937980651855469,-0.7786561264822134,0.004856586456298828
-5.0,M04np,snr_imp_scaled,22,13.121429294916915,5.943540228237927,10.242307525676114,14.249626137181922,-1.1281968422650062,28.0,0.0006937980651855469,-0.7786561264822134,0.004856586456298828
-5.0,M05f,snr_imp_scaled,22,12.72032831539159,2.957480694433599,12.424866000346556,14.249626137181922,-1.5292978217903324,97.0,0.3534979820251465,-0.233201581027668,1.0
-5.0,M03,snr_imp_scaled,22,12.21864343591776,3.0495795030669615,11.947599805340841,14.249626137181922,-2.0309827012641617,51.0,0.01272726058959961,-0.5968379446640316,0.05090904235839844
-5.0,M_FE,snr_imp_scaled,22,11.260951807530732,3.7618522114912225,9.69217365791948,14.249626137181922,-2.9886743296511877,5.0,4.76837158203125e-06,-0.9604743083003953,4.76837158203125e-05
-5.0,M00,snr_imp_scaled,22,6.903442781753685,0.8995597700205148,6.748383905660043,14.249626137181922,-7.346183355428238,0.0,4.76837158203125e-07,-1.0,6.198883056640625e-06
0.0,B02,snr_imp_scaled,22,17.762133212200833,7.681435790824917,14.251628349037656,12.514436217133225,5.247696995067607,0.0,4.76837158203125e-07,1.0,6.198883056640625e-06
0.0,B01,snr_imp_scaled,22,17.014317325606466,5.465610769581394,17.509522796058363,12.514436217133225,4.499881108473242,0.0,4.76837158203125e-07,1.0,6.198883056640625e-06
0.0,M06,snr_imp_scaled,22,16.74370748888747,3.3536055787353187,16.88748534371252,12.514436217133225,4.22927127175424,22.0,0.000255584716796875,0.8260869565217391,0.002300262451171875
0.0,M08,snr_imp_scaled,22,16.42185252029163,3.5242699307055547,16.394633729613385,12.514436217133225,3.907416303158405,25.0,0.00042819976806640625,0.8023715415019763,0.00342559814453125
0.0,M07,snr_imp_scaled,22,15.696240311692234,3.12231135873933,15.849007552134179,12.514436217133225,3.181804094559005,36.0,0.0021948814392089844,0.7154150197628458,0.01536417007446289
0.0,M05,snr_imp_scaled,22,12.762012660691868,3.067696947267637,12.763253218153825,12.514436217133225,0.24757644355864128,118.0,0.7990336418151855,0.06719367588932806,0.7990336418151855
0.0,M02,snr_imp_scaled,22,11.817767107998721,3.292432209959505,10.742587233034799,12.514436217133225,-0.6966691091345042,95.0,0.32088327407836914,-0.2490118577075099,0.6417665481567383
