metric,label,dir,method,n,mean,std,median,q1,q3,floor_p95
snr_imp_scaled,SNR improvement [dB],↑,B01,22,17.934608056687786,5.0432757434354585,17.026268203545506,14.421559126636524,21.2537132103584,
snr_imp_scaled,SNR improvement [dB],↑,B02,22,17.869312959369395,6.713702845357028,15.721504840173822,12.51786258592179,23.057091551863714,
snr_imp_scaled,SNR improvement [dB],↑,M00,22,2.5576156357249804,0.8328566083638218,2.269013943042533,2.0199163040881003,2.595663009763301,
snr_imp_scaled,SNR improvement [dB],↑,M01,22,13.031400911976675,3.764622658680943,11.890328204575574,10.325567017603444,15.793296867802482,
snr_imp_scaled,SNR improvement [dB],↑,M02,22,10.837171491251773,3.3152571524309162,10.796448486410316,9.010922709503053,12.810369643820604,
snr_imp_scaled,SNR improvement [dB],↑,M03,22,10.407256077945299,2.7243195651178826,10.16355583634402,8.91589299284297,12.37343782194493,
snr_imp_scaled,SNR improvement [dB],↑,M04,22,13.120142774365407,5.711743414240923,11.480099580097477,8.307829994367838,17.794458723788765,
snr_imp_scaled,SNR improvement [dB],↑,M04np,22,13.120142774365407,5.711743414240923,11.480099580097477,8.307829994367838,17.794458723788765,
snr_imp_scaled,SNR improvement [dB],↑,M05,22,11.030259556675157,3.20745332277178,10.986663297586123,8.259408765232447,12.789438997843462,
snr_imp_scaled,SNR improvement [dB],↑,M05f,22,9.448713882129322,2.8366183111474212,9.38304957833563,7.051344982438517,10.667589417699773,
snr_imp_scaled,SNR improvement [dB],↑,M06,22,14.368963604910805,3.0028540890223683,14.370302430916759,12.75897673181367,16.151790172177503,
snr_imp_scaled,SNR improvement [dB],↑,M07,22,13.157804298975435,2.738239272507789,13.008746296709173,11.814632591629309,14.972731437293609,
snr_imp_scaled,SNR improvement [dB],↑,M08,22,14.660763816007556,3.0525941905724845,14.891141212777828,13.181923544801368,16.17775044232188,
snr_imp_scaled,SNR improvement [dB],↑,M_FE,22,12.11020960685827,4.858481758677119,10.888711809996671,7.873759620137487,15.982795163744072,
rmse,RMSE [mV],↓,B01,22,0.0470620125949069,0.028873858853191634,0.049398121435642775,0.021899427346369977,0.058998702933894295,0.0042072458752093
rmse,RMSE [mV],↓,B02,22,0.04862427797075726,0.029669749989303225,0.04209371135403802,0.027386955234561007,0.06787702560464358,0.0042072458752093
rmse,RMSE [mV],↓,M00,22,0.24852375485849915,0.09842227429863562,0.21749557922202387,0.18221312183085936,0.2985365801280274,0.0042072458752093
rmse,RMSE [mV],↓,M01,22,0.08425055880198982,0.05481644555873642,0.06412767501943356,0.05157544102301159,0.1027837044698979,0.0042072458752093
rmse,RMSE [mV],↓,M02,22,0.08097318704583223,0.04211907728615845,0.07169323201505248,0.050253849149644016,0.10461056382455719,0.0042072458752093
rmse,RMSE [mV],↓,M03,22,0.08992927559100115,0.054508993457988715,0.0748996847070122,0.054884974104239564,0.10044668860549696,0.0042072458752093
rmse,RMSE [mV],↓,M04,22,0.11501780127694317,0.09034443162976473,0.07804746329752349,0.05516044818364451,0.16407457121135235,0.0042072458752093
rmse,RMSE [mV],↓,M04np,22,0.11501780127694317,0.09034443162976473,0.07804746329752349,0.05516044818364451,0.16407457121135235,0.0042072458752093
rmse,RMSE [mV],↓,M05,22,0.07279540645915783,0.03807120421700532,0.06854965155627088,0.04614091260807503,0.09233442221335053,0.0042072458752093
rmse,RMSE [mV],↓,M05f,22,0.08790446742933243,0.050088421701469876,0.07755858827178627,0.0519100946036234,0.09947888300662508,0.0042072458752093
rmse,RMSE [mV],↓,M06,22,0.04454342780018252,0.02068165828360674,0.04268703594995768,0.027071566455815706,0.05709083220617559,0.0042072458752093
rmse,RMSE [mV],↓,M07,22,0.050624868268734406,0.02354486192394786,0.04975618606693831,0.030432628202834197,0.06323173673762561,0.0042072458752093
rmse,RMSE [mV],↓,M08,22,0.04468563893671644,0.019835514238000066,0.043211967000087434,0.03094388556490993,0.056086990047045406,0.0042072458752093
rmse,RMSE [mV],↓,M_FE,22,0.12207174707825952,0.09406123020438475,0.07956596401996106,0.05857209696083385,0.16884937931638422,0.0042072458752093
cc,Pearson CC,↑,B01,22,0.9757573730289313,0.016480136984767395,0.9796953104622583,0.963637059642694,0.9894339904859062,5.082376370564301e-05
cc,Pearson CC,↑,B02,22,0.9731751342963957,0.015314665183893848,0.9751839580918519,0.9631938570625062,0.9837844569650946,5.082376370564301e-05
cc,Pearson CC,↑,M00,22,0.7753776087543508,0.06106168825980368,0.7959803284322726,0.7630961209705776,0.8152574241707932,5.082376370564301e-05
cc,Pearson CC,↑,M01,22,0.9443235534817108,0.0217911696786181,0.944983653679133,0.9263431073120141,0.9543333927672581,5.082376370564301e-05
cc,Pearson CC,↑,M02,22,0.9490435083209796,0.020168537590495646,0.9501917104367195,0.9310654384199248,0.9624345924960138,5.082376370564301e-05
cc,Pearson CC,↑,M03,22,0.937420394914874,0.02513573168186861,0.9365875671914703,0.9243441501099098,0.9509770975651842,5.082376370564301e-05
cc,Pearson CC,↑,M04,22,0.9149865808368415,0.04769632914063994,0.9250342902981785,0.8827299457376288,0.9459049221389874,5.082376370564301e-05
cc,Pearson CC,↑,M04np,22,0.9149865808368415,0.04769632914063994,0.9250342902981785,0.8827299457376288,0.9459049221389874,5.082376370564301e-05
cc,Pearson CC,↑,M05,22,0.9564645200745534,0.02140474796212727,0.9568615939865615,0.9343721067207458,0.9719026057286435,5.082376370564301e-05
cc,Pearson CC,↑,M05f,22,0.9428655183429595,0.025518426217947643,0.9505818548124119,0.9244098220803476,0.9616895249944482,5.082376370564301e-05
cc,Pearson CC,↑,M06,22,0.9797046822895044,0.028163471370475632,0.9893660255465537,0.9825331766140407,0.9913493648731424,5.082376370564301e-05
cc,Pearson CC,↑,M07,22,0.9777688861111734,0.020876503355662213,0.9837352647852786,0.9790313923343145,0.9876482299314969,5.082376370564301e-05
cc,Pearson CC,↑,M08,22,0.9794844583222101,0.025607468894489043,0.9863178252587834,0.9799766258128922,0.9892264267190223,5.082376370564301e-05
cc,Pearson CC,↑,M_FE,22,0.9093685511568341,0.04993610225165885,0.917460642780181,0.8806453856264188,0.9380256669045957,5.082376370564301e-05
se,R-peak Se,↑,B01,22,0.9934614063120932,0.011915769874221193,0.9988434550422256,0.990711405529954,1.0,
se,R-peak Se,↑,B02,22,0.9868963922194226,0.018501203808369917,0.9910485347985347,0.9869013989776703,0.9990942028985508,
se,R-peak Se,↑,M00,22,0.9867591491214036,0.015552375833299291,0.9891910599879435,0.9845699810322452,0.998792270531401,
se,R-peak Se,↑,M01,22,0.9866980543022443,0.01568251753058453,0.9891910599879435,0.9845699810322452,0.998792270531401,
se,R-peak Se,↑,M02,22,0.9868239186605013,0.015887087211954948,0.988614723862221,0.9856859410430839,0.9990942028985508,
se,R-peak Se,↑,M03,22,0.9830942101399319,0.021113685040073524,0.9887242538881884,0.9768518518518519,0.9980345911949685,
se,R-peak Se,↑,M04,22,0.9866951450251414,0.016268131947539826,0.9902218152218152,0.9848550567483554,0.998792270531401,
se,R-peak Se,↑,M04np,22,0.9866951450251414,0.016268131947539826,0.9902218152218152,0.9848550567483554,0.998792270531401,
se,R-peak Se,↑,M05,22,0.9853473044334403,0.017106176091417537,0.9895688617208483,0.9799915574557734,0.998792270531401,
se,R-peak Se,↑,M05f,22,0.98448488825324,0.022375562786457623,0.9895574855252274,0.9806662975267626,0.998792270531401,
se,R-peak Se,↑,M06,22,0.9912061563241583,0.013084321522083636,0.9934275793650793,0.9906809385582971,1.0,
se,R-peak Se,↑,M07,22,0.986646363291208,0.024987237349967363,0.9921215880893299,0.9886807181889149,1.0,
se,R-peak Se,↑,M08,22,0.9893215184963775,0.018398956325483377,0.9953466530054644,0.9906809385582971,1.0,
se,R-peak Se,↑,M_FE,22,0.9867591491214036,0.015552375833299291,0.9891910599879435,0.9845699810322452,0.998792270531401,
ppv,R-peak PPV,↑,B01,22,0.998270075425862,0.004384039338954649,1.0,1.0,1.0,
ppv,R-peak PPV,↑,B02,22,0.9771097490779219,0.026898161978197055,0.983847120689226,0.9627732166960432,0.9997146118721462,
ppv,R-peak PPV,↑,M00,22,0.9750983066459703,0.026117283672299894,0.9817114946940315,0.9560569560851258,0.9978537192088339,
ppv,R-peak PPV,↑,M01,22,0.9751785504462773,0.025744070496568933,0.9817114946940315,0.9560569560851258,0.9982899468417761,
ppv,R-peak PPV,↑,M02,22,0.9757833242870526,0.025966580376077904,0.983011803011803,0.9572025207109676,0.9987431945907974,
ppv,R-peak PPV,↑,M03,22,0.9816136158663528,0.018703085693191436,0.9875443262411348,0.9696035502391915,0.9987186655484112,
ppv,R-peak PPV,↑,M04,22,0.9759235025779833,0.025701927770167728,0.9843056453350572,0.9564763620963483,0.9978537192088339,
ppv,R-peak PPV,↑,M04np,22,0.9759235025779833,0.025701927770167728,0.9843056453350572,0.9564763620963483,0.9978537192088339,
ppv,R-peak PPV,↑,M05,22,0.9792627121521246,0.023769930580879645,0.99278477816619,0.9601798727048444,0.9987966133942162,
ppv,R-peak PPV,↑,M05f,22,0.9783463755701557,0.024688242826342077,0.9879855606478596,0.9607568146274021,0.9997146118721462,
ppv,R-peak PPV,↑,M06,22,0.9980784816018019,0.005586371026760888,1.0,0.9992897727272727,1.0,
ppv,R-peak PPV,↑,M07,22,0.9951799822698214,0.011266428667292747,1.0,0.9961824123588829,1.0,
ppv,R-peak PPV,↑,M08,22,0.9968256723181564,0.00819028196014036,1.0,0.9983569182389938,1.0,
ppv,R-peak PPV,↑,M_FE,22,0.9753339387517719,0.025741154880972263,0.9817114946940315,0.9560569560851258,0.9978537192088339,
rpeak_mae_ms,R-peak MAE [ms],↓,B01,22,2.4417985045991655,4.210348440740328,1.0682784922336006,0.7697122541201489,1.6025552765218647,0.0456965394853594
rpeak_mae_ms,R-peak MAE [ms],↓,B02,22,2.734097321485496,4.339671806841837,1.407274007266826,0.8401000432012131,1.8959658552290386,0.0456965394853594
rpeak_mae_ms,R-peak MAE [ms],↓,M00,22,2.635048595778998,4.307710166289524,1.3699432702951442,0.7886323763955344,1.7937860683704496,0.0456965394853594
rpeak_mae_ms,R-peak MAE [ms],↓,M01,22,2.6376472212040243,4.308620635763448,1.3699432702951442,0.7829505582137162,1.7965034596747973,0.0456965394853594
rpeak_mae_ms,R-peak MAE [ms],↓,M02,22,2.6942201456486323,4.377938701219309,1.2986287645611618,0.846334670231729,1.6871379789248426,0.0456965394853594
rpeak_mae_ms,R-peak MAE [ms],↓,M03,22,2.8873126060288077,4.0636216294665175,1.8300734265307999,0.9968282675711426,2.2037583700896834,0.0456965394853594
rpeak_mae_ms,R-peak MAE [ms],↓,M04,22,2.6373269298033852,4.294000311874306,1.362951281217947,0.7886323763955344,1.7991489623203,0.0456965394853594
