epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.005737,0.002577,-0.891949,-1.202167,0.986121,73.351099
2,0.000659,0.003290,0.002345,-0.258135,-0.689684,1.014316,72.999662
3,0.000993,0.002655,0.001945,0.453315,0.227160,0.996428,73.467925
4,0.000999,0.002373,0.002673,-1.612391,-1.815015,1.023624,72.857531
5,0.000997,0.002406,0.001771,0.510031,0.286501,1.008093,72.973899
6,0.000993,0.002003,0.001765,0.669141,0.452667,1.013999,73.215953
7,0.000988,0.002053,0.001945,-0.236771,-0.522218,1.022575,73.921039
8,0.000981,0.001948,0.001590,0.660276,0.472106,0.986266,72.487239
9,0.000973,0.001994,0.002819,-1.201868,-1.490631,1.025831,72.550943
10,0.000963,0.001832,0.001753,0.156711,-0.027088,1.010149,72.749743
11,0.000952,0.001836,0.001715,0.727012,0.527300,1.018722,72.829430
12,0.000940,0.001922,0.001672,0.775813,0.535788,1.020367,73.312516
13,0.000926,0.001905,0.001618,1.272233,0.919383,0.973973,71.987656
14,0.000911,0.001704,0.001644,0.995902,0.862500,1.003145,72.707972
15,0.000895,0.001864,0.001505,1.322637,1.084597,1.018225,72.570220
16,0.000877,0.001779,0.001572,0.878306,0.723768,1.000039,74.045272
17,0.000859,0.001863,0.001764,0.317841,0.135716,1.021183,72.943179
