epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.013278,0.012506,1.110382,0.509826,0.907741,46.729098
2,0.000659,0.012646,0.012780,1.850704,1.464641,0.960344,46.552748
3,0.000993,0.012295,0.012143,2.298923,1.925573,0.964652,46.672118
4,0.000999,0.011633,0.011996,2.555853,2.360846,0.983892,49.863036
5,0.000997,0.011769,0.012497,2.296772,1.997358,0.991533,48.436029
6,0.000993,0.011612,0.012684,2.078669,1.798530,0.994482,48.663356
7,0.000988,0.011136,0.010923,3.281407,3.129555,0.982409,47.569623
8,0.000981,0.010765,0.010593,3.776905,3.608020,0.996167,48.267002
9,0.000973,0.011038,0.010945,3.086040,2.768499,0.954596,46.671925
10,0.000963,0.010999,0.010807,3.362183,3.135692,0.966921,48.175128
11,0.000952,0.010740,0.011319,3.062376,2.946366,0.988022,47.791419
12,0.000940,0.010570,0.011708,3.228259,3.023142,1.009768,47.313352
13,0.000926,0.010634,0.011063,3.591677,3.469189,0.992833,46.852452
14,0.000911,0.010219,0.010582,3.792467,3.661149,0.992177,47.888465
15,0.000895,0.010033,0.012130,2.983806,2.854730,1.002924,48.695471
16,0.000877,0.010012,0.010444,3.961307,3.844907,0.988782,47.840431
17,0.000859,0.010005,0.010375,4.204244,4.015765,1.001362,47.634756
18,0.000839,0.009763,0.011498,3.728622,3.549256,1.015317,48.524420
19,0.000818,0.009427,0.010319,4.316720,4.196458,1.008179,47.186170
20,0.000797,0.009575,0.011344,3.515399,3.424371,1.006014,46.914995
21,0.000774,0.009374,0.010882,4.010258,3.919783,1.006418,48.165851
22,0.000751,0.009588,0.010300,3.968857,3.854297,0.984909,49.456567
23,0.000726,0.009202,0.010568,4.025160,3.935811,1.002195,47.781465
24,0.000701,0.009023,0.010499,4.241918,4.140695,1.006627,48.787001
25,0.000676,0.009177,0.010376,4.190309,4.102731,0.996901,48.256917
26,0.000650,0.009088,0.010649,4.038251,3.886202,1.007328,48.721221
27,0.000623,0.008906,0.010186,4.287933,4.202554,0.993428,49.175159
28,0.000596,0.009007,0.011275,3.184419,3.096234,0.997300,48.006353
29,0.000569,0.008795,0.010045,4.384602,4.299324,0.999138,48.738758
30,0.000542,0.008760,0.011004,3.850807,3.753710,1.003292,48.271030
31,0.000514,0.008501,0.010511,4.274603,4.169503,1.007865,47.250766
32,0.000487,0.008590,0.011911,2.753490,2.652812,1.011393,48.012159
33,0.000459,0.008431,0.010607,4.230670,4.121418,1.007579,48.106273
34,0.000432,0.008596,0.011151,3.609144,3.493789,1.009199,47.581911
35,0.000405,0.008414,0.010918,3.839844,3.726829,1.009857,47.524019
36,0.000378,0.008206,0.010506,4.286808,4.196646,1.003844,46.809370
37,0.000351,0.008436,0.010514,4.245925,4.154128,1.004749,47.465399
38,0.000325,0.008376,0.011465,3.855067,3.729132,1.016183,48.072246
39,0.000300,0.008533,0.010516,4.357584,4.268444,1.003072,49.267428
40,0.000275,0.008235,0.010587,4.170773,4.061033,1.003931,48.819814
41,0.000251,0.007971,0.010828,4.110547,4.014844,1.005856,48.547556
