epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.009128,0.005152,0.811152,0.369406,0.929667,43.330549
2,0.000659,0.004145,0.002615,1.175735,0.836147,0.992660,43.389267
3,0.000993,0.002720,0.002548,1.370563,1.059290,0.999748,43.201078
4,0.000999,0.003543,0.002450,0.580612,0.322591,1.004856,42.475789
5,0.000997,0.002817,0.002099,1.901579,1.479465,1.018436,42.724644
6,0.000993,0.002282,0.001875,3.467409,3.161224,0.993814,44.239404
7,0.000988,0.002276,0.001875,2.833134,2.258889,1.022662,43.341930
8,0.000981,0.001935,0.001776,3.400973,3.160356,0.993768,43.432961
9,0.000973,0.001961,0.001629,3.330576,3.028873,1.010602,43.901553
10,0.000963,0.001753,0.001764,3.025388,2.636325,1.019989,41.625213
11,0.000952,0.001842,0.001648,3.343995,3.193249,0.997952,42.078085
12,0.000940,0.002079,0.001564,3.160771,2.960108,0.999793,43.127022
13,0.000926,0.001756,0.001564,3.837207,3.607120,0.996228,43.610987
14,0.000911,0.001692,0.001667,2.714359,2.382447,1.024185,43.389030
15,0.000895,0.001812,0.001548,3.733836,3.620673,0.992910,42.641617
16,0.000877,0.001681,0.001434,4.193182,3.994364,1.001496,42.299108
17,0.000859,0.001629,0.001351,3.921352,3.754282,1.008272,42.652506
18,0.000839,0.001517,0.001603,3.438302,3.194304,1.008491,43.056217
19,0.000818,0.001624,0.001800,2.538117,2.208658,1.033293,42.942763
20,0.000797,0.001628,0.001842,2.172061,2.015308,1.009883,43.147845
21,0.000774,0.001622,0.001467,3.658469,3.390515,1.024539,43.128778
22,0.000751,0.001416,0.001284,4.477027,4.295859,1.010723,43.226383
23,0.000726,0.001295,0.001356,4.140212,3.990297,1.008586,46.127671
24,0.000701,0.001393,0.001456,3.771722,3.617015,1.011142,42.518490
25,0.000676,0.001419,0.001752,2.938216,2.681130,1.022458,44.643466
26,0.000650,0.001402,0.001529,3.377882,3.136438,1.024256,48.871094
27,0.000623,0.001289,0.001370,4.331097,4.100612,1.016704,45.944626
28,0.000596,0.001494,0.001425,4.170490,4.032271,1.012753,45.768218
29,0.000569,0.001310,0.001338,4.028193,3.930477,1.003866,42.357288
30,0.000542,0.001300,0.001360,3.747850,3.616119,1.008826,42.463873
31,0.000514,0.001230,0.002403,2.728942,2.435363,1.033452,44.102884
32,0.000487,0.001329,0.001688,2.963725,2.672025,1.029015,43.668612
33,0.000459,0.001243,0.001510,3.875471,3.742585,1.010639,44.405292
34,0.000432,0.001191,0.001328,4.093891,3.925988,1.014715,44.775976
