snr_in,method,metric,n,mean,std,median,baseline_mean,delta_mean,stat,p,effect_r,p_holm
-5.0,M06,snr_imp_scaled,22,17.23513619944255,3.604715118798216,18.2331946100168,9.970056875473398,7.265079323969155,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
-5.0,M10,snr_imp_scaled,22,17.203750048987526,3.15755058826981,17.21421233783788,9.970056875473398,7.233693173514132,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
-5.0,M07,snr_imp_scaled,22,17.15511120026741,3.0805897198911523,17.526488825507997,9.970056875473398,7.185054324794012,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
-5.0,M08,snr_imp_scaled,22,16.99752309211114,3.619371446790878,18.459644343657708,9.970056875473398,7.027466216637743,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
-5.0,B02,snr_imp_scaled,22,14.030580474204623,4.974166898327431,13.158118600565354,9.970056875473398,4.0605235987312245,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
-5.0,B01,snr_imp_scaled,22,13.479002895619175,3.8922030248419555,13.066726886600172,9.970056875473398,3.508946020145777,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
-5.0,M05,snr_imp_scaled,22,11.191763062040165,3.185212876056301,10.789898917059876,9.970056875473398,1.2217061865667682,48.0,0.009274482727050781,0.6205533596837944,0.05564689636230469
-5.0,M04,snr_imp_scaled,22,10.487105629087203,2.9088796701488477,9.80359118484308,9.970056875473398,0.517048753613807,41.0,0.004151344299316406,0.6758893280632411,0.029059410095214844
-5.0,M04np,snr_imp_scaled,22,10.18253935617963,2.5201966214500837,9.728382445920946,9.970056875473398,0.21248248070623169,83.0,0.16585874557495117,0.3438735177865613,0.4975762367248535
-5.0,M05f,snr_imp_scaled,22,10.036204142119367,2.324803462266543,10.052785651008648,9.970056875473398,0.06614726664596784,122.0,0.898735523223877,-0.03557312252964427,1.0
-5.0,M02,snr_imp_scaled,22,9.891855932846784,1.9028717689533472,10.226601891191564,9.970056875473398,-0.07820094262661235,116.0,0.7502379417419434,0.08300395256916997,1.0
-5.0,M03,snr_imp_scaled,22,9.747184427742853,2.308199724855867,9.530480402049196,9.970056875473398,-0.22287244773054418,65.0,0.046160221099853516,-0.48616600790513836,0.18464088439941406
-5.0,M_FE,snr_imp_scaled,22,9.136146939364302,2.699225394015539,8.270691432152733,9.970056875473398,-0.8339099361090935,53.0,0.015583038330078125,-0.5810276679841897,0.07791519165039062
-5.0,M00,snr_imp_scaled,22,6.170378866111384,0.1935475897748609,6.150404670083672,9.970056875473398,-3.7996780093620135,0.0,4.76837158203125e-07,-1.0,6.67572021484375e-06
0.0,M06,snr_imp_scaled,22,15.558638593920415,3.7960661282694965,16.351116977612925,8.056147262623442,7.502491331296971,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
0.0,M08,snr_imp_scaled,22,15.519045457961598,3.715029491041692,15.781804479518527,8.056147262623442,7.462898195338155,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
0.0,M07,snr_imp_scaled,22,15.298001570739821,3.210019498664698,15.301101953282629,8.056147262623442,7.241854308116379,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
0.0,M10,snr_imp_scaled,22,15.287534954164755,3.6158358654358214,15.289853609298182,8.056147262623442,7.231387691541314,1.0,9.5367431640625e-07,0.9920948616600791,7.62939453125e-06
0.0,B01,snr_imp_scaled,22,12.203600567070408,3.9950717790372874,12.051158765801732,8.056147262623442,4.147453304446968,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
0.0,B02,snr_imp_scaled,22,11.696343435885018,4.504074361327668,11.062743005539946,8.056147262623442,3.640196173261572,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
0.0,M05,snr_imp_scaled,22,9.424434229153352,3.096783795509239,9.553061430639854,8.056147262623442,1.3682869665299093,23.0,0.0003046989440917969,0.8181818181818182,0.0015234947204589844
