epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.332159,0.160637,2.427543,1.097956,0.786908,104.806374
2,0.000659,0.255976,0.082413,4.330189,3.647000,0.889083,67.466534
3,0.000993,0.155688,0.038078,4.793206,4.359693,0.931321,67.594373
4,0.000999,0.102822,0.036921,4.911573,4.442502,0.935926,66.954374
5,0.000997,0.073970,0.025497,6.026131,5.659908,0.958948,64.134145
6,0.000993,0.055224,0.025158,6.649264,6.280022,0.969999,65.691214
7,0.000988,0.050837,0.022898,6.852629,6.503592,0.955814,64.118386
8,0.000981,0.040910,0.022758,6.414434,5.864330,1.006349,65.299385
9,0.000973,0.034220,0.023608,7.541065,7.242902,0.967865,65.368715
10,0.000963,0.031226,0.020820,7.316846,6.995735,0.976834,66.550134
