epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.034010,0.025627,0.782452,0.218806,0.923782,39.521234
2,0.000659,0.021899,0.018220,2.266291,1.947922,0.965937,43.631716
3,0.000993,0.017968,0.021500,1.803321,1.383355,0.926300,40.432840
4,0.000999,0.020910,0.018003,2.701511,2.341103,0.969064,40.121433
5,0.000997,0.018767,0.016958,3.065114,2.754324,0.964863,39.551926
6,0.000993,0.016471,0.016865,3.101659,2.809708,0.961782,40.409168
7,0.000988,0.016659,0.015060,3.114853,2.863255,0.980451,40.138374
