epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.032314,0.021479,0.700974,0.179475,0.941766,37.944964
2,0.000659,0.018691,0.016529,2.096203,1.766508,0.974661,37.047769
3,0.000993,0.015760,0.015276,2.441607,2.122072,0.975053,37.300911
4,0.000999,0.015479,0.013656,3.170615,2.879484,1.008919,37.329936
5,0.000997,0.015268,0.015321,2.469618,2.071943,0.996170,36.135017
6,0.000993,0.014173,0.013116,3.519938,3.320081,0.999279,36.768154
7,0.000988,0.012979,0.014715,2.563676,2.344308,1.016883,37.342910
8,0.000981,0.012851,0.012798,3.382914,3.248205,1.001275,37.325176
9,0.000973,0.012278,0.012622,4.386882,4.264549,0.980806,37.320386
10,0.000963,0.012330,0.012325,4.191099,4.030919,1.004860,37.567871
11,0.000952,0.012021,0.013510,3.507261,3.323349,1.012013,37.944420
12,0.000940,0.012258,0.011677,4.569470,4.429546,1.005171,37.292339
13,0.000926,0.011601,0.011918,4.099946,3.940043,1.009771,38.740639
14,0.000911,0.011634,0.012228,4.097819,3.851992,1.013637,36.761948
15,0.000895,0.011838,0.013260,3.234753,2.917389,1.029518,37.541447
16,0.000877,0.011234,0.011244,4.672534,4.570199,0.998730,38.726606
