metric,ideal,floor_mean,floor_p95,floor_max
rmse,0.0,0.001498708713701842,0.001503897846792053,0.0015047059756023297
prdn,0.0,1.0004330997089885,1.0041163361645733,1.0047560566869598
cc,1.0,5.003790138351505e-05,5.040924410621428e-05,5.047645448952309e-05
beat_cc,1.0,3.1218362419593857e-07,3.6337355846516317e-07,3.9045904864920544e-07
beat_cc_median,1.0,4.216848961980268e-05,4.964843087839066e-05,5.004800577101953e-05
r_amp_err_pct,0.0,0.12930935748074904,0.14322337204818644,0.15223879961500092
rpeak_mae_ms,0.0,0.0009467455621301779,0.0,0.023668639053254448
rpeak_bias_ms,0.0,0.0009467455621301779,0.0,0.023668639053254448
hr_err_bpm,0.0,0.0,0.0,0.0
rr_mae_ms,0.0,0.001904761904761907,0.0,0.04761904761904767
qrs_dur_err_ms,0.0,0.41045545748971113,0.6397307960083546,0.7194244604316546
delineate_success_rate,,0.0,0.0,0.0
psd_logdist,0.0,3.632374210175811,6.328103440595038,6.3785640899861145
gain_bias,1.0,0.00010219139638276919,0.00020370634177235277,0.00023517716395637933
