epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.007917,0.003899,0.456762,-0.415374,0.996367,76.616732
2,0.000659,0.003171,0.002471,2.651596,2.221712,0.986873,83.088670
3,0.000993,0.002497,0.002606,1.693621,1.264263,0.993105,83.685979
4,0.000999,0.002615,0.002331,2.399086,2.060747,0.996640,85.290394
5,0.000997,0.002385,0.002295,1.523032,0.970602,1.023732,85.633250
6,0.000993,0.001984,0.001957,2.856026,2.677436,0.984357,90.426723
7,0.000988,0.001973,0.001917,3.356290,3.207450,0.986630,188.811966
