record,snr,who,남은변동,준위산포,박동당이동,<0.5 Hz 기저선,0.5~40 Hz 신호대역,59~61 Hz 전원선,>61 Hz 나머지,오차파워 [%R^2]
100,0.0,참조 FE_off(clean),0.4039869709991771,2.366115159093128,13.413971818626496,0.0,0.0,0.0,0.0,0.0
100,0.0,입력 (원본+잡음),9.566655973405041,50.83278117546681,12.371973465306365,97.78380896938584,1.8321433469016073,0.13714034629447233,0.0887415287860618,9.536125469698892
100,0.0,resunet1d + L1 (FE 판),0.4264249461303612,2.4542080415295597,13.480629971113727,3.9837169124943075,87.44785610586611,0.12995562146476927,3.6426885206063573,0.03242832003911146
100,0.0,resunet1d + L1 (nofe),0.4510837813032815,2.849842146455529,18.586324708543895,3.635180317824205,90.66675453972928,0.06899002866048858,1.6030916222969176,0.08853211630685302
100,10.0,참조 FE_off(clean),0.4039869709991771,2.366115159093128,13.413971818626496,0.0,0.0,0.0,0.0,0.0
100,10.0,입력 (원본+잡음),4.659832838830103,19.979892299456864,13.361153574309673,97.18083626450638,1.8215816062550887,0.7748710103529104,0.1154777709531985,7.70361433327017
100,10.0,resunet1d + L1 (FE 판),0.2935936397990882,1.8514982813022882,13.53763691204581,2.5507038692317234,85.99816443167732,0.18206386190906412,5.155249074310553,0.022377078882573724
100,10.0,resunet1d + L1 (nofe),0.2727472994463797,1.7135228277740902,17.859356642223325,2.953805652230521,89.72928454980604,0.08468620938724768,2.2083041625539797,0.06286773945524969
103,0.0,참조 FE_off(clean),0.31110800521424337,1.6854062493647188,10.959780256894065,0.0,0.0,0.0,0.0,0.0
103,0.0,입력 (원본+잡음),2.719166717584046,16.841474286761404,9.946676012080783,7.613625195605815,0.07595531365065127,83.71868542305154,8.583944440405965,3.4879666224824484
103,0.0,resunet1d + L1 (FE 판),0.3384180269792993,2.107387459906459,10.511314278741683,17.695110246130476,62.242990900490526,0.2473727661047765,16.28712232966244,0.006706121816456419
103,0.0,resunet1d + L1 (nofe),0.2872176553196257,1.5862689668602303,6.485757779037866,2.4742237347167095,63.41149759270866,2.9990915437287247,23.689692348903375,0.017323364414297236
103,10.0,참조 FE_off(clean),0.31110800521424337,1.6854062493647188,10.959780256894065,0.0,0.0,0.0,0.0,0.0
103,10.0,입력 (원본+잡음),1.984721127553929,12.257087300594392,10.674160505508391,30.968851000375388,0.20537191443628847,62.10050861972772,6.715587288817078,1.3739537565982465
103,10.0,resunet1d + L1 (FE 판),0.3367493915978174,1.4943070889314813,10.520047440635382,4.569878459218224,71.48860875964752,0.2534276063127135,18.027286378647975,0.0037907924547598737
103,10.0,resunet1d + L1 (nofe),0.25641660656501336,1.4023203452550848,7.622869019667494,2.256050731248199,72.76826933545955,1.386233789016761,16.976385807375816,0.010529581686766508
105,0.0,참조 FE_off(clean),0.6424693792614526,6.140183964365751,9.975590953803605,0.0,0.0,0.0,0.0,0.0
105,0.0,입력 (원본+잡음),5.2384209773476345,36.808388393742206,11.205294337438861,19.264367693783633,39.572105026176295,24.039556306649427,5.980448025052051,6.558841914117287
105,0.0,resunet1d + L1 (FE 판),0.7617224702209134,6.5570857057451475,9.310428258348152,22.973451956744007,65.75352942797656,1.5890387211081543,4.7060452706562685,0.035721116286108086
105,0.0,resunet1d + L1 (nofe),0.5553823062153741,4.330956100793448,9.460141453714199,24.04049509821716,59.29048158151256,3.7830461168418554,7.412090729801511,0.05627040461163683
105,10.0,참조 FE_off(clean),0.6424693792614526,6.140183964365751,9.975590953803605,0.0,0.0,0.0,0.0,0.0
105,10.0,입력 (원본+잡음),2.382698263188278,18.94310280244985,9.789823718513983,30.96997497357249,35.039921570221736,19.141474282098887,5.150906747015962,2.6334051477546647
105,10.0,resunet1d + L1 (FE 판),0.6007223460253386,6.208513568250902,9.623711227339244,25.26743151655411,65.89055588069819,0.2232830243765868,4.1573872264891465,0.024001611111788137
105,10.0,resunet1d + L1 (nofe),0.5273576303664024,4.493255021601063,9.360125038354438,29.98052299651831,62.02187065225914,0.5654174012173068,3.472012153212919,0.03935084670083935
111,0.0,참조 FE_off(clean),1.4205238439818229,9.986013986802948,12.055883441884909,0.0,0.0,0.0,0.0,0.0
111,0.0,입력 (원본+잡음),5.693521224603539,50.44956939309767,15.15583580663546,19.124971266418093,0.7058005708314047,73.12209814875429,7.032871164588894,11.770378144621908
111,0.0,resunet1d + L1 (FE 판),1.140921098806388,7.688989520610441,13.215771715958013,29.773321245290298,59.185535238362235,0.24047672627244773,6.547371434480421,0.04010074025019581
111,0.0,resunet1d + L1 (nofe),1.0724759392829184,7.8739657204117055,16.58269863598026,3.5497897349954877,81.89514714691587,4.860569375969081,6.505157363727473,0.08904960351836091
111,10.0,참조 FE_off(clean),1.4205238439818229,9.986013986802948,12.055883441884909,0.0,0.0,0.0,0.0,0.0
111,10.0,입력 (원본+잡음),5.757692812290026,50.49283185651655,14.619933424176063,66.82119154709547,2.458415317010747,28.211897562765156,2.4938568231963205,6.160842401145605
111,10.0,resunet1d + L1 (FE 판),1.1718581295129924,7.831852644007428,13.231753314903083,13.890135050479302,74.93502746819891,0.1436210903224443,4.753577811728748,0.02543695887553195
111,10.0,resunet1d + L1 (nofe),1.0682654391250366,8.035242356474974,18.91325841437253,2.8097059310080725,89.6424867193303,0.8131485385191096,3.062532084969495,0.07144839635945302
113,0.0,참조 FE_off(clean),0.42715626284745334,3.7373121934715483,6.017147594432083,0.0,0.0,0.0,0.0,0.0
113,0.0,입력 (원본+잡음),4.431744663491128,32.05122466283386,9.621542891439518,12.703077889596432,17.94598481270186,1.6498718293097643,44.49433069744232,4.596995814474258
113,0.0,resunet1d + L1 (FE 판),0.3212493228796421,2.788986298400286,7.133736429778819,2.9094843963357646,74.55586424522541,0.32063885574502077,13.51493303551288,0.0701000936038965
113,0.0,resunet1d + L1 (nofe),0.46138808256934677,2.7827401085980643,1.6929900252813164,3.5422914535677874,72.6400244184465,0.5005870531602739,16.743066226359712,0.13308628726346228
113,10.0,참조 FE_off(clean),0.42715626284745334,3.7373121934715483,6.017147594432083,0.0,0.0,0.0,0.0,0.0
113,10.0,입력 (원본+잡음),3.7081917600812253,31.02438686936155,7.604286748354319,58.8598011218317,8.76852789982517,0.959884557667073,20.645237052528945,1.452955614580631
113,10.0,resunet1d + L1 (FE 판),0.279604419903947,2.808531629411061,6.885735085127597,5.375814688144848,81.04983291461936,0.3184995047955163,6.484110517679346,0.02841799231107489
113,10.0,resunet1d + L1 (nofe),0.3334421871954932,2.268242316190009,1.5779116867075136,4.203066403001485,86.68723562735056,0.29798749967316635,4.782330703616676,0.0594555167515324
117,0.0,참조 FE_off(clean),0.7989714296560567,4.22543290047686,26.466713811334248,0.0,0.0,0.0,0.0,0.0
117,0.0,입력 (원본+잡음),9.215219815948634,76.70703426323821,31.657149159568913,35.993955162738075,18.92805404253587,1.1108180783534407,32.72331827602403,106.08995971774743
117,0.0,resunet1d + L1 (FE 판),1.5878255099183836,13.39496814684106,21.15813326675713,2.434330239115828,89.25205796582271,0.2650391032504093,5.246838561546083,0.36534746261110745
117,0.0,resunet1d + L1 (nofe),2.6643561458142964,13.418461385879885,27.469998644516533,4.9533307728790295,84.22194802819801,0.22212862723793747,7.999423607137967,0.5535872378322836
117,10.0,참조 FE_off(clean),0.7989714296560567,4.22543290047686,26.466713811334248,0.0,0.0,0.0,0.0,0.0
117,10.0,입력 (원본+잡음),6.7172991392858785,30.78042415721903,28.472623688062562,53.3875658228602,13.92680792429527,0.8032874699767191,23.748229585881262,98.8697528413776
