probe,record,seg,method,halluc_energy,gap_s,beat_type,beat_cc,n_beats
p1,S033,0,M_FE,0.07915517733479177,0.4,,,
p1,S033,0,M01,0.07902698089171463,0.4,,,
p1,S033,0,M04,0.07963949566260545,0.4,,,
p1,S033,0,M05,0.07039048634685385,0.4,,,
p1,S033,0,B01,0.0723846788109548,0.4,,,
p1,S033,0,M06,0.039938394094073196,0.4,,,
p1,S033,0,M07,0.09066173058787304,0.4,,,
p1,S033,0,M08,0.05601875998875577,0.4,,,
p1,S034,0,M00,0.26130189919786934,0.4,,,
p1,S034,0,M_FE,0.147469142531871,0.4,,,
p1,S034,0,M01,0.03921148020750122,0.4,,,
p1,S034,0,M04,0.026357478925210787,0.4,,,
p1,S034,0,M05,0.023027015270240522,0.4,,,
p1,S034,0,B01,0.01246308783345012,0.4,,,
p1,S034,0,M06,0.03067314447221852,0.4,,,
p1,S034,0,M07,0.041892453140831704,0.4,,,
p1,S034,0,M08,0.027441285731710677,0.4,,,
p1,S035,0,M00,0.8227672806426929,0.4,,,
p1,S035,0,M_FE,0.5220628894979666,0.4,,,
p1,S035,0,M01,0.35706351482318843,0.4,,,
p1,S035,0,M04,0.5031476216844983,0.4,,,
p1,S035,0,M05,0.5895613757640347,0.4,,,
p1,S035,0,B01,0.05231243993370135,0.4,,,
p1,S035,0,M06,0.062366036852990636,0.4,,,
p1,S035,0,M07,0.06379328350856737,0.4,,,
p1,S035,0,M08,0.06421693633690442,0.4,,,
p1,S036,0,M00,0.5458612059289725,0.4,,,
p1,S036,0,M_FE,0.48891956499331135,0.4,,,
p1,S036,0,M01,0.12182726766434095,0.4,,,
p1,S036,0,M04,0.06472577503901561,0.4,,,
p1,S036,0,M05,0.009259273511660828,0.4,,,
p1,S036,0,B01,0.0010976379019788862,0.4,,,
p1,S036,0,M06,0.017538834413497885,0.4,,,
p1,S036,0,M07,0.03146079479982077,0.4,,,
p1,S036,0,M08,0.01029578046134911,0.4,,,
p1,S037,0,M00,0.043551763814362494,0.4,,,
p1,S037,0,M_FE,0.022444935378871718,0.4,,,
p1,S037,0,M01,0.01208477581676133,0.4,,,
p1,S037,0,M04,0.01069164059431009,0.4,,,
p1,S037,0,M05,0.008679364440718339,0.4,,,
p1,S037,0,B01,0.009263125579402247,0.4,,,
p1,S037,0,M06,0.009494926257618618,0.4,,,
p1,S037,0,M07,0.019659053514345652,0.4,,,
p1,S037,0,M08,0.020573274485635333,0.4,,,
p1,S038,0,M00,0.05851818164829083,0.4,,,
p1,S038,0,M_FE,0.0007598655978436358,0.4,,,
p1,S038,0,M01,0.0007312772828140604,0.4,,,
p1,S038,0,M04,0.0007571793831860215,0.4,,,
p1,S038,0,M05,0.00019613741095178035,0.4,,,
p1,S038,0,B01,0.0006900623573566275,0.4,,,
p1,S038,0,M06,9.496155781524346e-05,0.4,,,
p1,S038,0,M07,0.0066156976495187515,0.4,,,
p1,S038,0,M08,0.0029921872865877365,0.4,,,
p1,S039,0,M00,0.020835565805304095,0.4,,,
p1,S039,0,M_FE,0.008852338622930247,0.4,,,
p1,S039,0,M01,0.008969432381583882,0.4,,,
p1,S039,0,M04,0.01006192196739313,0.4,,,
p1,S039,0,M05,0.03527769426689845,0.4,,,
p1,S039,0,B01,0.004810576495535659,0.4,,,
p1,S039,0,M06,0.0078023725747308455,0.4,,,
p1,S039,0,M07,0.03543180915203152,0.4,,,
p1,S039,0,M08,0.0071715686933333765,0.4,,,
p1,S040,0,M00,0.08766234914464159,0.4,,,
p1,S040,0,M_FE,0.1453200388193783,0.4,,,
p1,S040,0,M01,0.1465358215111276,0.4,,,
p1,S040,0,M04,0.16113360415860847,0.4,,,
p1,S040,0,M05,0.15265735431876207,0.4,,,
p1,S040,0,B01,0.1031254728296742,0.4,,,
p1,S040,0,M06,0.13234026583651856,0.4,,,
p1,S040,0,M07,0.16861764085884007,0.4,,,
p1,S040,0,M08,0.1314598275216937,0.4,,,
p1,S041,0,M00,0.227142668594728,0.4,,,
p1,S041,0,M_FE,0.22914239683881618,0.4,,,
p1,S041,0,M01,0.2712521145796899,0.4,,,
p1,S041,0,M04,0.2634073563941287,0.4,,,
p1,S041,0,M05,0.27743352301299073,0.4,,,
p1,S041,0,B01,0.1386360500764005,0.4,,,
p1,S041,0,M06,0.26351660066913163,0.4,,,
p1,S041,0,M07,0.21066153840223809,0.4,,,
p1,S041,0,M08,0.2326497922368119,0.4,,,
p1,S042,0,M00,0.5054821179896127,0.4,,,
p1,S042,0,M_FE,0.4568287222765306,0.4,,,
p1,S042,0,M01,0.05683712287348226,0.4,,,
p1,S042,0,M04,0.04901021240915385,0.4,,,
p1,S042,0,M05,0.009892151281925844,0.4,,,
p1,S042,0,B01,0.0012675599725396932,0.4,,,
p1,S042,0,M06,0.0173357024238271,0.4,,,
p1,S042,0,M07,0.01797222177475597,0.4,,,
p1,S042,0,M08,0.01144158616926533,0.4,,,
p1,S043,0,M00,0.07458559593454941,0.4,,,
p1,S043,0,M_FE,0.011055060473506241,0.4,,,
p1,S043,0,M01,0.00539456927749828,0.4,,,
p1,S043,0,M04,0.004172461614355394,0.4,,,
p1,S043,0,M05,0.0037297059051505832,0.4,,,
p1,S043,0,B01,0.002750202224773882,0.4,,,
p1,S043,0,M06,0.004322018959072802,0.4,,,
p1,S043,0,M07,0.011016406879152276,0.4,,,
p1,S043,0,M08,0.011175570629256448,0.4,,,
p2,S022,0,M00,0.368019516434992,3.0,,,
p2,S022,0,M_FE,0.15669129047213837,3.0,,,
p2,S022,0,M01,0.15327260955432487,3.0,,,
p2,S022,0,M04,0.15228695421943558,3.0,,,
p2,S022,0,M05,0.11036151613504086,3.0,,,
p2,S022,0,B01,0.1061758628751803,3.0,,,
p2,S022,0,M06,0.1377067028809679,3.0,,,
p2,S022,0,M07,0.10063744490433502,3.0,,,
p2,S022,0,M08,0.13147923237676737,3.0,,,
p2,S023,0,M00,0.5562285090844364,3.0,,,
p2,S023,0,M_FE,0.15701995616601916,3.0,,,
p2,S023,0,M01,0.16441739691153331,3.0,,,
p2,S023,0,M04,0.1577399281035482,3.0,,,
p2,S023,0,M05,0.13377444900928592,3.0,,,
p2,S023,0,B01,0.15746105702614008,3.0,,,
p2,S023,0,M06,0.024945377664654083,3.0,,,
p2,S023,0,M07,0.05397228009825255,3.0,,,
p2,S023,0,M08,0.021839857973372425,3.0,,,
p2,S024,0,M00,0.3451954618421605,3.0,,,
p2,S024,0,M_FE,0.07334217606866456,3.0,,,
p2,S024,0,M01,0.06675107260941657,3.0,,,
p2,S024,0,M04,0.07207325504990415,3.0,,,
p2,S024,0,M05,0.05200784365472257,3.0,,,
p2,S024,0,B01,0.05309249621759673,3.0,,,
p2,S024,0,M06,0.050674406998729535,3.0,,,
p2,S024,0,M07,0.036615179955624695,3.0,,,
p2,S024,0,M08,0.046855952503366265,3.0,,,
p2,S025,0,M00,0.8390404260682789,3.0,,,
p2,S025,0,M_FE,0.1289903877569387,3.0,,,
p2,S025,0,M01,0.1075302252846578,3.0,,,
p2,S025,0,M04,0.06238261110806669,3.0,,,
p2,S025,0,M05,0.05738674036745694,3.0,,,
p2,S025,0,B01,0.05495413650897499,3.0,,,
p2,S025,0,M06,0.02443840272965832,3.0,,,
p2,S025,0,M07,0.025772551231546318,3.0,,,
p2,S025,0,M08,0.050500197649478565,3.0,,,
p2,S026,0,M00,0.23292643280697448,3.0,,,
p2,S026,0,M_FE,0.09541110203319604,3.0,,,
p2,S026,0,M01,0.08866393725323418,3.0,,,
p2,S026,0,M04,0.07404872079135046,3.0,,,
p2,S026,0,M05,0.06404684826359922,3.0,,,
p2,S026,0,B01,0.07663945218386584,3.0,,,
p2,S026,0,M06,0.015932473451820528,3.0,,,
p2,S026,0,M07,0.025182535328109025,3.0,,,
p2,S026,0,M08,0.04515839075401869,3.0,,,
p2,S027,0,M00,0.5820742229370456,3.0,,,
p2,S027,0,M_FE,0.049536496811341736,3.0,,,
p2,S027,0,M01,0.06248683281785744,3.0,,,
p2,S027,0,M04,0.05275254100241519,3.0,,,
p2,S027,0,M05,0.06100721185179729,3.0,,,
p2,S027,0,B01,0.062341815471087546,3.0,,,
p2,S027,0,M06,0.014208216333431344,3.0,,,
p2,S027,0,M07,0.019662860888162915,3.0,,,
p2,S027,0,M08,0.01613066063985704,3.0,,,
p2,S028,0,M00,0.09670022479412921,3.0,,,
p2,S028,0,M_FE,0.15188549658139278,3.0,,,
p2,S028,0,M01,0.15565534540670373,3.0,,,
p2,S028,0,M04,0.15675812534829897,3.0,,,
p2,S028,0,M05,0.1253975668176207,3.0,,,
p2,S028,0,B01,0.1798546716346484,3.0,,,
p2,S028,0,M06,0.06252469028947141,3.0,,,
p2,S028,0,M07,0.06394183246309042,3.0,,,
p2,S028,0,M08,0.09099956200108521,3.0,,,
p2,S029,0,M00,0.10637462854172594,3.0,,,
p2,S029,0,M_FE,0.1472409673466632,3.0,,,
p2,S029,0,M01,0.12452621872525059,3.0,,,
p2,S029,0,M04,0.14959622411165327,3.0,,,
p2,S029,0,M05,0.09180551757481577,3.0,,,
p2,S029,0,B01,0.06245213814573409,3.0,,,
p2,S029,0,M06,0.03436923910551491,3.0,,,
p2,S029,0,M07,0.06832239487367625,3.0,,,
p2,S029,0,M08,0.0585141820133514,3.0,,,
p2,S030,0,M00,0.2645638660253392,3.0,,,
p2,S030,0,M_FE,0.2206924351115425,3.0,,,
p2,S030,0,M01,0.16940019685067578,3.0,,,
p2,S030,0,M04,0.16785209777954155,3.0,,,
p2,S030,0,M05,0.10084790294604537,3.0,,,
p2,S030,0,B01,0.20018797617540773,3.0,,,
p2,S030,0,M06,0.08469933477171504,3.0,,,
p2,S030,0,M07,0.07079476152179835,3.0,,,
p2,S030,0,M08,0.08452755068708577,3.0,,,
p2,S031,0,M00,0.32815182611530436,3.0,,,
p2,S031,0,M_FE,0.10533177316399658,3.0,,,
p2,S031,0,M01,0.03974472657246507,3.0,,,
p2,S031,0,M04,0.01732832617414913,3.0,,,
p2,S031,0,M05,0.01652958917893306,3.0,,,
p2,S031,0,B01,0.014486362749862413,3.0,,,
p2,S031,0,M06,0.015357361859508782,3.0,,,
p2,S031,0,M07,0.008979623994398386,3.0,,,
p2,S031,0,M08,0.012397828680669232,3.0,,,
p2,S032,0,M00,0.07898244821125777,3.0,,,
p2,S032,0,M_FE,0.09564123276385406,3.0,,,
p2,S032,0,M01,0.04489045310602252,3.0,,,
p2,S032,0,M04,0.026201034790821965,3.0,,,
p2,S032,0,M05,0.011480405057056244,3.0,,,
p2,S032,0,B01,0.03647570874502496,3.0,,,
p2,S032,0,M06,0.0774283099714765,3.0,,,
p2,S032,0,M07,0.008480446751937319,3.0,,,
p2,S032,0,M08,0.009381258218014455,3.0,,,
p2,S033,0,M00,0.41355086631009896,3.0,,,
p2,S033,0,M_FE,0.3869159058051513,3.0,,,
p2,S033,0,M01,0.07771504585265691,3.0,,,
p2,S033,0,M04,0.05912166164582937,3.0,,,
p2,S033,0,M05,0.03155960878878812,3.0,,,
p2,S033,0,B01,0.03573846566260119,3.0,,,
p2,S033,0,M06,0.012779217174580169,3.0,,,
p2,S033,0,M07,0.028926920214175804,3.0,,,
p2,S033,0,M08,0.023642116216266496,3.0,,,
p2,S034,0,M00,0.21794693636340878,3.0,,,
p2,S034,0,M_FE,0.12096577176733629,3.0,,,
p2,S034,0,M01,0.11746337486877811,3.0,,,
p2,S034,0,M04,0.12469518287906095,3.0,,,
p2,S034,0,M05,0.1263501750246695,3.0,,,
p2,S034,0,B01,0.1243556915912377,3.0,,,
p2,S034,0,M06,0.047436088993234204,3.0,,,
p2,S034,0,M07,0.11484977218017661,3.0,,,
p2,S034,0,M08,0.047059676368122416,3.0,,,
p2,S035,0,M00,0.03564916023416841,3.0,,,
p2,S035,0,M_FE,0.09103592822380874,3.0,,,
p2,S035,0,M01,0.079194686500269,3.0,,,
p2,S035,0,M04,0.09102898236959592,3.0,,,
p2,S035,0,M05,0.045990131675279204,3.0,,,
p2,S035,0,B01,0.04505887805076493,3.0,,,
p2,S035,0,M06,0.012932168535542186,3.0,,,
p2,S035,0,M07,0.03591269096821292,3.0,,,
p2,S035,0,M08,0.01881319629557254,3.0,,,
p2,S036,0,M00,0.21058586891691694,3.0,,,
p2,S036,0,M_FE,0.18283778756030405,3.0,,,
p2,S036,0,M01,0.03393656167609456,3.0,,,
p2,S036,0,M04,0.00864206834077279,3.0,,,
p2,S036,0,M05,0.004207102781168525,3.0,,,
p2,S036,0,B01,0.003310877164355006,3.0,,,
p2,S036,0,M06,0.00925476756624518,3.0,,,
p2,S036,0,M07,0.003355300076866977,3.0,,,
p2,S036,0,M08,0.006798555213606811,3.0,,,
p2,S037,0,M00,0.45780605625611775,3.0,,,
p2,S037,0,M_FE,0.12005373724377821,3.0,,,
p2,S037,0,M01,0.12676301899729914,3.0,,,
p2,S037,0,M04,0.12191087187817042,3.0,,,
p2,S037,0,M05,0.12470139766680806,3.0,,,
p2,S037,0,B01,0.12373624006523609,3.0,,,
p2,S037,0,M06,0.020964008784073212,3.0,,,
p2,S037,0,M07,0.05610074411186812,3.0,,,
p2,S037,0,M08,0.044028502097803596,3.0,,,
p2,S038,0,M00,0.5107367653445029,3.0,,,
p2,S038,0,M_FE,0.24203204545798276,3.0,,,
p2,S038,0,M01,0.20407489625285682,3.0,,,
p2,S038,0,M04,0.2316243327673896,3.0,,,
p2,S038,0,M05,0.16585371022035555,3.0,,,
p2,S038,0,B01,0.11262306430787919,3.0,,,
p2,S038,0,M06,0.11271118556515182,3.0,,,
p2,S038,0,M07,0.10515611542001915,3.0,,,
p2,S038,0,M08,0.10517950368130018,3.0,,,
p2,S039,0,M00,1.845794135043391,3.0,,,
p2,S039,0,M_FE,0.20523724708497135,3.0,,,
p2,S039,0,M01,0.20660040756581427,3.0,,,
p2,S039,0,M04,0.2053981408519309,3.0,,,
p2,S039,0,M05,0.21646223513199322,3.0,,,
p2,S039,0,B01,0.20523702550563672,3.0,,,
p2,S039,0,M06,0.020498198541235246,3.0,,,
p2,S039,0,M07,0.08589828633130027,3.0,,,
p2,S039,0,M08,0.03778729570357461,3.0,,,
p2,S040,0,M00,0.2775730990106558,3.0,,,
p2,S040,0,M_FE,0.2384548917793404,3.0,,,
p2,S040,0,M01,0.17154423242563818,3.0,,,
p2,S040,0,M04,0.23254796852685716,3.0,,,
p2,S040,0,M05,0.09962699452469177,3.0,,,
p2,S040,0,B01,0.05418725961201513,3.0,,,
p2,S040,0,M06,0.03796970495525242,3.0,,,
p2,S040,0,M07,0.05419066710258447,3.0,,,
p2,S040,0,M08,0.03016018168764469,3.0,,,
p2,S041,0,M00,0.5485024055364834,3.0,,,
p2,S041,0,M_FE,0.07325541519291419,3.0,,,
p2,S041,0,M01,0.06481723792699173,3.0,,,
p2,S041,0,M04,0.07902607908227764,3.0,,,
p2,S041,0,M05,0.08691176726427204,3.0,,,
p2,S041,0,B01,0.10353440249420155,3.0,,,
p2,S041,0,M06,0.06876320472247294,3.0,,,
p2,S041,0,M07,0.08904985539074008,3.0,,,
p2,S041,0,M08,0.05416820553052305,3.0,,,
p2,S042,0,M00,0.26947372829032196,3.0,,,
p2,S042,0,M_FE,0.24585963291001517,3.0,,,
p2,S042,0,M01,0.13273463008896946,3.0,,,
p2,S042,0,M04,0.10770291705886274,3.0,,,
p2,S042,0,M05,0.05430690940684447,3.0,,,
p2,S042,0,B01,0.10012396545441832,3.0,,,
p2,S042,0,M06,0.058728771194753455,3.0,,,
p2,S042,0,M07,0.04710531077946047,3.0,,,
p2,S042,0,M08,0.04821058386006207,3.0,,,
p2,S043,0,M00,0.2333505434099192,3.0,,,
p2,S043,0,M_FE,0.21150890307088885,3.0,,,
p2,S043,0,M01,0.07820073772529723,3.0,,,
p2,S043,0,M04,0.06279746312789072,3.0,,,
p2,S043,0,M05,0.06356865549265511,3.0,,,
p2,S043,0,B01,0.06731271758442688,3.0,,,
p2,S043,0,M06,0.014331207687110726,3.0,,,
p2,S043,0,M07,0.033357439053383155,3.0,,,
p2,S043,0,M08,0.036015854742893455,3.0,,,
p3,S022,0,M00,,,N,0.9170454714640167,73.0
p3,S022,0,M_FE,,,N,0.9250237496659884,73.0
p3,S022,0,M01,,,N,0.9692251954872404,73.0
p3,S022,0,M04,,,N,0.9770788574153784,73.0
p3,S022,0,M05,,,N,0.9953855776872543,73.0
p3,S022,0,B01,,,N,0.9926768300309909,73.0
p3,S022,0,M06,,,N,0.9937778574358751,73.0
p3,S022,0,M07,,,N,0.9917148654259333,73.0
p3,S022,0,M08,,,N,0.9939509191551359,73.0
p3,S024,0,M00,,,N,0.9237811767950294,84.0
p3,S024,0,M00,,,V,0.9626522002184191,4.0
p3,S024,0,M_FE,,,N,0.9263106100097281,84.0
p3,S024,0,M_FE,,,V,0.9632832371383712,4.0
p3,S024,0,M01,,,N,0.9217324126635577,84.0
p3,S024,0,M01,,,V,0.9631904283265722,4.0
p3,S024,0,M04,,,N,0.9265780125393273,84.0
p3,S024,0,M04,,,V,0.9633895260897779,4.0
p3,S024,0,M05,,,N,0.9320464681685198,84.0
p3,S024,0,M05,,,V,0.8933803830117902,4.0
p3,S024,0,B01,,,N,0.9384878112586664,84.0
p3,S024,0,B01,,,V,0.9685295454107323,4.0
p3,S024,0,M06,,,N,0.9769817299239358,84.0
p3,S024,0,M06,,,V,0.9713566784422916,4.0
p3,S024,0,M07,,,N,0.9844458885945714,84.0
p3,S024,0,M07,,,V,0.9690324201731303,4.0
p3,S024,0,M08,,,N,0.9713589561622292,84.0
p3,S024,0,M08,,,V,0.972955859422551,4.0
p3,S025,0,M00,,,N,0.8931430556664138,89.0
p3,S025,0,M00,,,V,0.9397984190435779,6.0
p3,S025,0,M_FE,,,N,0.9151638152812963,89.0
p3,S025,0,M_FE,,,V,0.9529998785318784,6.0
p3,S025,0,M01,,,N,0.9413434297728762,89.0
p3,S025,0,M01,,,V,0.9818548626232791,6.0
p3,S025,0,M04,,,N,0.9798327561348049,89.0
p3,S025,0,M04,,,V,0.9914956381868595,6.0
p3,S025,0,M05,,,N,0.9856422093270433,89.0
p3,S025,0,M05,,,V,0.4439476659867136,6.0
p3,S025,0,B01,,,N,0.9881171330774315,89.0
p3,S025,0,B01,,,V,0.9932421059699307,6.0
p3,S025,0,M06,,,N,0.9888388462020973,89.0
p3,S025,0,M06,,,V,0.9924844469951807,6.0
p3,S025,0,M07,,,N,0.9819059082796069,89.0
p3,S025,0,M07,,,V,0.9924446121484415,6.0
p3,S025,0,M08,,,N,0.9875691192945197,89.0
p3,S025,0,M08,,,V,0.9913515325771937,6.0
p3,S026,0,M00,,,N,0.9112133838372217,54.0
p3,S026,0,M00,,,V,0.9802603071609579,2.0
p3,S026,0,M_FE,,,N,0.9295880365521498,54.0
p3,S026,0,M_FE,,,V,0.9851528485480875,2.0
p3,S026,0,M01,,,N,0.9710716401596765,54.0
p3,S026,0,M01,,,V,0.9944580051778378,2.0
p3,S026,0,M04,,,N,0.9871332435371322,54.0
p3,S026,0,M04,,,V,0.9987762332304739,2.0
p3,S026,0,M05,,,N,0.9912468899247145,54.0
p3,S026,0,M05,,,V,0.8241574281863042,2.0
p3,S026,0,B01,,,N,0.9899537853857251,54.0
p3,S026,0,B01,,,V,0.998879755730895,2.0
p3,S026,0,M06,,,N,0.9918310868490352,54.0
p3,S026,0,M06,,,V,0.9986185873429942,2.0
p3,S026,0,M07,,,N,0.9917125933747871,54.0
p3,S026,0,M07,,,V,0.9986111315303543,2.0
p3,S026,0,M08,,,N,0.9907149567751127,54.0
p3,S026,0,M08,,,V,0.9976712585812104,2.0
p3,S027,0,M00,,,N,0.9682212578781888,62.0
p3,S027,0,M00,,,V,0.9738561171645431,2.0
p3,S027,0,M_FE,,,N,0.9717017484433051,62.0
p3,S027,0,M_FE,,,V,0.9754455952252297,2.0
p3,S027,0,M01,,,N,0.9781272114589958,62.0
p3,S027,0,M01,,,V,0.9838905879853759,2.0
p3,S027,0,M04,,,N,0.9725425078191258,62.0
p3,S027,0,M04,,,V,0.9758451156435195,2.0
p3,S027,0,M05,,,N,0.9842821481472632,62.0
p3,S027,0,M05,,,V,0.9259372700382498,2.0
p3,S027,0,B01,,,N,0.9939612141289429,62.0
p3,S027,0,B01,,,V,0.9987971843826422,2.0
p3,S027,0,M06,,,N,0.997842456261792,62.0
p3,S027,0,M06,,,V,0.9990460266987058,2.0
p3,S027,0,M07,,,N,0.9956185831883907,62.0
p3,S027,0,M07,,,V,0.9980421750614237,2.0
p3,S027,0,M08,,,N,0.9976418735954974,62.0
p3,S027,0,M08,,,V,0.9988672377265331,2.0
p3,S028,0,M00,,,N,0.9313121464325321,65.0
p3,S028,0,M00,,,V,0.9677834681840629,5.0
p3,S028,0,M_FE,,,N,0.9786592684065777,65.0
p3,S028,0,M_FE,,,V,0.9899272567322663,5.0
p3,S028,0,M01,,,N,0.9787231048105947,65.0
p3,S028,0,M01,,,V,0.9901495154851089,5.0
p3,S028,0,M04,,,N,0.9791591200703172,65.0
p3,S028,0,M04,,,V,0.9902484784561727,5.0
p3,S028,0,M05,,,N,0.9752555336568799,65.0
