stage,sigma_source,mode,protect,k,mean,min
1,d1,soft,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",11.459571382278776,1.2726802049840167
1,d1,soft,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",11.631271025502619,1.2604047513609178
1,d1,hard,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",12.322924544107124,1.2189036510678477
1,d1,hard,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",12.292918034382788,1.2194655728953432
1,d1,garrote,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",12.148271782196522,1.219894951593865
1,d1,garrote,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",12.168521526106952,1.2205925489512097
1,d2,soft,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.636832989554888,1.3098377233911904
1,d2,soft,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",10.934232497310042,1.286512716945694
1,d2,hard,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",11.979477869491156,1.2135142959948677
1,d2,hard,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",11.978746886045641,1.215469249750253
1,d2,garrote,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",11.537686978681453,1.2181752094778329
1,d2,garrote,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",11.640553288413942,1.2202048059741166
1,min12,soft,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",11.459571382278776,1.2726802049840167
1,min12,soft,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",11.631271025502619,1.2604047513609178
1,min12,hard,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",12.322924544107124,1.2189036510678477
1,min12,hard,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",12.292918034382788,1.2194655728953432
1,min12,garrote,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",12.148271782196522,1.219894951593865
1,min12,garrote,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",12.168521526106952,1.2205925489512097
1,level,soft,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",3.7361657385875886,-4.457713985136687
1,level,soft,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",4.665164545631085,-2.889112181916248
1,level,hard,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",7.5236402140332,0.22252141726407082
1,level,hard,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",7.602927350788982,0.3979204874786113
1,level,garrote,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",5.398719457945969,-2.3252977057552116
1,level,garrote,True,"(0.6, 0.6, 0.6, 0.6, 0.6)",6.081662371591902,-1.0896715156243904
2,d1,hard,False,"(0.1, 0.6, 0.6, 0.6, 0.6)",11.840655562677766,
2,d1,hard,False,"(0.2, 0.6, 0.6, 0.6, 0.6)",11.99463355565243,
2,d1,hard,False,"(0.3, 0.6, 0.6, 0.6, 0.6)",12.121557088638045,
2,d1,hard,False,"(0.4, 0.6, 0.6, 0.6, 0.6)",12.206402575184226,
2,d1,hard,False,"(0.6, 0.6, 0.6, 0.6, 0.6)",12.322924544107124,
2,d1,hard,False,"(0.8, 0.6, 0.6, 0.6, 0.6)",12.32696770287201,
2,d1,hard,False,"(1.0, 0.6, 0.6, 0.6, 0.6)",12.303193840756663,
2,d1,hard,False,"(1.3, 0.6, 0.6, 0.6, 0.6)",12.285702156079598,
2,d1,hard,False,"(1.6, 0.6, 0.6, 0.6, 0.6)",12.281104947227035,
2,d1,hard,False,"(2.0, 0.6, 0.6, 0.6, 0.6)",12.291211679175486,
2,d1,hard,False,"(2.5, 0.6, 0.6, 0.6, 0.6)",12.312687546265627,
2,d1,hard,False,"(0.8, 0.1, 0.6, 0.6, 0.6)",12.362923557585784,
2,d1,hard,False,"(0.8, 0.2, 0.6, 0.6, 0.6)",12.388003465598857,
2,d1,hard,False,"(0.8, 0.3, 0.6, 0.6, 0.6)",12.380536524318451,
2,d1,hard,False,"(0.8, 0.4, 0.6, 0.6, 0.6)",12.362732993960249,
2,d1,hard,False,"(0.8, 0.6, 0.6, 0.6, 0.6)",12.32696770287201,
2,d1,hard,False,"(0.8, 0.8, 0.6, 0.6, 0.6)",12.233079207356976,
2,d1,hard,False,"(0.8, 1.0, 0.6, 0.6, 0.6)",12.109971580246231,
2,d1,hard,False,"(0.8, 1.3, 0.6, 0.6, 0.6)",11.932682456635748,
2,d1,hard,False,"(0.8, 1.6, 0.6, 0.6, 0.6)",11.793908377967194,
