epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000325,0.016866,0.009249,2.310739,1.697490,0.897086,26.937614
2,0.000658,0.004800,0.002366,6.171684,6.008663,0.977378,28.732494
3,0.000992,0.001906,0.001766,7.319391,6.776393,1.024944,27.810063
4,0.000999,0.001339,0.001426,8.257700,8.080567,0.972701,26.462207
5,0.000997,0.001239,0.001197,8.350834,8.216410,1.004965,25.987486
6,0.000993,0.001089,0.001162,8.410962,8.144977,0.969321,26.517725
7,0.000988,0.001043,0.001048,8.816100,8.608443,0.976199,32.434062
8,0.000981,0.000860,0.001116,8.586099,8.440690,1.005200,28.304203
9,0.000973,0.000774,0.001039,8.942356,8.799863,1.005812,242.749471
10,0.000964,0.000754,0.001006,8.656889,8.436452,0.980560,98.121407
11,0.000952,0.000745,0.000900,9.034803,8.909579,1.008460,27.306325
12,0.000940,0.000630,0.001022,8.415841,8.290209,1.008781,26.997585
13,0.000926,0.000603,0.000990,8.803134,8.458151,1.029168,27.208567
14,0.000911,0.000597,0.000915,8.849842,8.761347,0.997310,26.423535
15,0.000895,0.000571,0.001021,8.589118,8.310253,1.029875,26.341723
16,0.000878,0.000599,0.001088,8.007855,7.905765,1.002411,26.323019
17,0.000859,0.000610,0.000994,8.244419,8.105335,1.005295,26.207306
18,0.000839,0.000539,0.001030,7.928630,7.805987,1.008058,26.352713
19,0.000818,0.000499,0.001037,8.285478,7.949952,1.035786,26.077787
20,0.000797,0.000466,0.001133,7.640698,7.524821,1.013743,26.791952
21,0.000774,0.000484,0.001190,7.274066,7.127314,1.015108,26.454778
22,0.000751,0.000489,0.001116,7.726319,7.505581,1.024516,26.179126
23,0.000726,0.000438,0.001133,7.490386,7.283994,1.022697,26.176707
