run_id,arm,seed,n_params,loss,best_metric,best_epoch,n_epochs,wall_s,sec_per_epoch,source,fixed_snr_in,fixed_snr_imp_strict,fixed_snr_imp_scaled,fixed_gain_bias,fixed_rmse,fixed_loss,band_-5_0,band_0_5,band_5_10,band_10_15,band_15_20,env_git_commit,env_python,env_torch,env_platform,env_device,env_amp,env_threads,env_gpu,env_cuda,env_cudnn
m06_cond__s0,m06_cond,0,974693,L1,3.638578700274229,27,39,1040.1,26.67,mitdb,15.496415298315696,4.067487385123968,4.34474830403924,1.0126788710244,0.026708316531949095,0.0010772034409455955,9.028576520085334,6.514233636111021,4.134365706145763,1.7932433150708675,-0.1063130885362625,b67016c56b0639502eb19afa822644124af76035,3.13.15,2.11.0+cu128,Linux-6.6.122+-x86_64-with-glibc2.39,cuda,False,1,Tesla T4,12.8,91900
m06_cond__s1,m06_cond,1,974693,L1,4.5498224422335625,21,33,886.9,26.88,mitdb,15.496415298315696,3.630570387840271,3.791251739114523,1.0118535718880595,0.02811977464298252,0.0012012845603749157,8.350230771489441,5.865791749581694,3.605915565043688,1.277267823368311,-0.602572712302208,51e9341a80c04af1c5ba8a30dcd67e244ecdafc0,3.14.7,2.11.0+cu128,Windows-11-10.0.26200-SP0,cuda,False,6,NVIDIA GeForce RTX 3070,12.8,91900
m06_cond__s2,m06_cond,2,974693,L1,4.684575644135475,19,31,822.1,26.52,mitdb,15.496415298315696,4.088204458355904,4.229356043040752,1.0012214706279337,0.027583510314434533,0.0012039387016557156,8.522399670258164,6.120043233036995,4.155392035096884,2.113873199373484,0.07002348899841308,51e9341a80c04af1c5ba8a30dcd67e244ecdafc0,3.14.7,2.11.0+cu128,Windows-11-10.0.26200-SP0,cuda,False,6,NVIDIA GeForce RTX 3070,12.8,91900
m06_cond__s3,m06_cond,3,974693,L1,4.484643236547709,23,35,942.2,26.92,mitdb,15.496415298315696,4.055952113866806,4.147900415211916,0.9962028592824936,0.02708716753622866,0.0011163367598783225,8.7155920304358,6.132683806493878,3.8027562871575356,1.7423583365976811,0.08886083215475082,51e9341a80c04af1c5ba8a30dcd67e244ecdafc0,3.14.7,2.11.0+cu128,Windows-11-10.0.26200-SP0,cuda,False,6,NVIDIA GeForce RTX 3070,12.8,91900
m06_cond__s4,m06_cond,4,974693,L1,4.667470648884773,35,47,1643.5,34.97,mitdb,15.496414953976636,4.049696666747332,4.174676696211099,1.003845630493015,0.027325089286023285,0.0011407317069824785,8.883190190419555,6.323191062733531,3.984206762164831,1.7566456273198128,-0.1993705429136753,1f8ea8583126e0a8e2344fc0765207a5ad64fe27,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4,,,
m06_cond__s5,m06_cond,5,974693,L1,4.4884026445448395,32,44,1547.8,35.18,mitdb,15.496414953976636,4.072565483301878,4.263774814456701,1.0184332254342734,0.027367965302619267,0.0011504677124321461,8.72816792409867,6.251735814288258,3.950171106308699,1.7594552427530288,0.24560297653079033,d60c1943cf6b1b3de773bda44d32bcf48262a090,3.11.15,2.13.0+cu130,Linux-6.18.44-fc-v24-x86_64-with-glibc2.39,cpu,False,4,,,
m06_l1__s0,m06_l1,0,976489,L1,3.5976990297436715,34,46,1584.9,34.45,mitdb,15.496415298315696,4.097161990404129,4.2551415205001835,1.0034722805023193,0.026877868785959436,0.0011309551133308559,9.454699735343457,7.072623619437218,4.5433469645679,1.696446444094181,-1.589754229784012,fa225808f7895bcd4ba9de40081e6de4b623db48,3.13.15,2.11.0+cu128,Linux-6.6.122+-x86_64-with-glibc2.39,cuda,False,1,Tesla T4,12.8,91900
m06_l1__s1,m06_l1,1,976489,L1,4.950864855200052,37,49,1320.8,26.95,mitdb,15.496415298315696,4.031433884799481,4.187859537452459,1.0084061302244662,0.02764563375239959,0.0012261716241482646,9.142885141074657,6.799808585271239,4.354529624991119,1.661068633198738,-1.3318920485675334,51e9341a80c04af1c5ba8a30dcd67e244ecdafc0,3.14.7,2.11.0+cu128,Windows-11-10.0.26200-SP0,cuda,False,6,NVIDIA GeForce RTX 3070,12.8,91900
m06_l1__s2,m06_l1,2,976489,L1,4.380609577149153,27,39,1036.0,26.56,mitdb,15.496415298315696,3.869501639902592,4.009243275225162,0.9984769495204091,0.02784229318058351,0.0012121706735342742,8.904797791689635,6.677218063920736,4.329801416397094,1.629570622742176,-1.463966778665781,51e9341a80c04af1c5ba8a30dcd67e244ecdafc0,3.14.7,2.11.0+cu128,Windows-11-10.0.26200-SP0,cuda,False,6,NVIDIA GeForce RTX 3070,12.8,91900
m06_l1__s3,m06_l1,3,976489,L1,4.356465273723006,36,48,1295.0,26.98,mitdb,15.496415298315696,3.882493133842945,4.01500570178032,1.0054332380183042,0.027810250008042204,0.0012360014428850264,9.225082030892372,6.74400571025908,4.243429705500603,1.3889993913471699,-1.80842250213027,51e9341a80c04af1c5ba8a30dcd67e244ecdafc0,3.14.7,2.11.0+cu128,Windows-11-10.0.26200-SP0,cuda,False,6,NVIDIA GeForce RTX 3070,12.8,91900
