rep,noise,true_snr,true_snr_eff,fe,estimator,est,err,lag1,artf,warn_corr
0,awgn,0,0.0,False,snr_beat_residual_db,-3.4235981156227746,-3.4235981156227746,0.060325584546494684,0.09271523178807947,0.0
0,awgn,0,0.0,False,snr_hsc_db,-3.0619044395317867,-3.0619044395317867,0.060325584546494684,0.09271523178807947,0.0
0,awgn,0,0.0,False,snr_isoelectric_db,0.4479241433143128,0.4479241433143128,0.060325584546494684,0.09271523178807947,0.0
0,awgn,5,5.0,False,snr_beat_residual_db,2.0121384836197818,-2.9878615163802182,0.06821701236315673,0.02857142857142857,0.0
0,awgn,5,5.0,False,snr_hsc_db,2.168076831572133,-2.831923168427867,0.06821701236315673,0.02857142857142857,0.0
0,awgn,5,5.0,False,snr_isoelectric_db,5.19763519725282,0.1976351972528203,0.06821701236315673,0.02857142857142857,0.0
0,awgn,10,10.0,False,snr_beat_residual_db,5.988604297460224,-4.011395702539776,0.20771739435787154,0.050359712230215826,1.0
0,awgn,10,10.0,False,snr_hsc_db,6.735787658764219,-3.2642123412357806,0.20771739435787154,0.050359712230215826,1.0
0,awgn,10,10.0,False,snr_isoelectric_db,9.463304906415042,-0.5366950935849584,0.20771739435787154,0.050359712230215826,1.0
0,awgn,15,15.0,False,snr_beat_residual_db,8.662814677749243,-6.3371853222507575,0.41923615917503293,0.06474820143884892,1.0
0,awgn,15,15.0,False,snr_hsc_db,9.076019169723525,-5.923980830276475,0.41923615917503293,0.06474820143884892,1.0
0,awgn,15,15.0,False,snr_isoelectric_db,13.196335905695811,-1.8036640943041888,0.41923615917503293,0.06474820143884892,1.0
0,awgn,20,20.0,False,snr_beat_residual_db,10.099725742264322,-9.900274257735678,0.549556133449707,0.07913669064748201,1.0
0,awgn,20,20.0,False,snr_hsc_db,10.59256136999383,-9.40743863000617,0.549556133449707,0.07913669064748201,1.0
0,awgn,20,20.0,False,snr_isoelectric_db,15.705464577761937,-4.294535422238063,0.549556133449707,0.07913669064748201,1.0
0,pli,0,0.0,False,snr_beat_residual_db,9.903531595099702,9.903531595099702,0.271949399272052,0.014388489208633094,1.0
0,pli,0,0.0,False,snr_hsc_db,9.054640102577462,9.054640102577462,0.271949399272052,0.014388489208633094,1.0
0,pli,0,0.0,False,snr_isoelectric_db,-0.18189167215241178,-0.18189167215241178,0.271949399272052,0.014388489208633094,1.0
0,pli,5,5.0,False,snr_beat_residual_db,7.951767325763333,2.951767325763333,0.30737912662739303,0.014388489208633094,1.0
0,pli,5,5.0,False,snr_hsc_db,10.211248425177308,5.211248425177308,0.30737912662739303,0.014388489208633094,1.0
0,pli,5,5.0,False,snr_isoelectric_db,4.761058478021365,-0.23894152197863505,0.30737912662739303,0.014388489208633094,1.0
0,pli,10,10.0,False,snr_beat_residual_db,6.262146366510662,-3.7378536334893377,0.3641568809162007,0.007194244604316547,1.0
0,pli,10,10.0,False,snr_hsc_db,9.992764188023198,-0.007235811976801898,0.3641568809162007,0.007194244604316547,1.0
0,pli,10,10.0,False,snr_isoelectric_db,9.14165636662441,-0.8583436333755898,0.3641568809162007,0.007194244604316547,1.0
0,pli,15,15.0,False,snr_beat_residual_db,8.66668944116787,-6.33331055883213,0.4304161950251506,0.06474820143884892,1.0
0,pli,15,15.0,False,snr_hsc_db,10.931717641885008,-4.068282358114992,0.4304161950251506,0.06474820143884892,1.0
0,pli,15,15.0,False,snr_isoelectric_db,12.952048707370011,-2.047951292629989,0.4304161950251506,0.06474820143884892,1.0
0,pli,20,20.0,False,snr_beat_residual_db,10.074180858244539,-9.925819141755461,0.5485001997810064,0.07913669064748201,1.0
0,pli,20,20.0,False,snr_hsc_db,11.198871981970711,-8.801128018029289,0.5485001997810064,0.07913669064748201,1.0
0,pli,20,20.0,False,snr_isoelectric_db,15.522110921326169,-4.477889078673831,0.5485001997810064,0.07913669064748201,1.0
0,bw,0,0.0,False,snr_beat_residual_db,5.34645095321012,5.34645095321012,0.04674081087552384,0.02158273381294964,0.0
0,bw,0,0.0,False,snr_hsc_db,6.011949881596004,6.011949881596004,0.04674081087552384,0.02158273381294964,0.0
0,bw,0,0.0,False,snr_isoelectric_db,20.568254672108747,20.568254672108747,0.04674081087552384,0.02158273381294964,0.0
0,bw,5,5.0,False,snr_beat_residual_db,9.220979213204565,4.220979213204565,0.663749346523824,0.07194244604316546,1.0
0,bw,5,5.0,False,snr_hsc_db,11.18014842256504,6.18014842256504,0.663749346523824,0.07194244604316546,1.0
