axis,snr_db,record,seg,contrast_db,sign
D1 실데이터,5,121,1,7.707,딥러닝 우세
D1 실데이터,5,123,0,4.051,딥러닝 우세
D1 실데이터,5,123,1,4.241,딥러닝 우세
D1 실데이터,5,200,0,3.12,딥러닝 우세
D1 실데이터,5,200,1,-1.638,front-end 우세
D1 실데이터,5,202,0,3.796,딥러닝 우세
D1 실데이터,5,202,1,4.549,딥러닝 우세
D1 실데이터,5,210,0,11.468,딥러닝 우세
D1 실데이터,5,210,1,-3.414,front-end 우세
D1 실데이터,5,212,0,3.078,딥러닝 우세
D1 실데이터,5,212,1,1.931,딥러닝 우세
D1 실데이터,5,213,0,5.508,딥러닝 우세
D1 실데이터,5,213,1,11.436,딥러닝 우세
D1 실데이터,5,214,0,14.213,딥러닝 우세
D1 실데이터,5,214,1,13.344,딥러닝 우세
D1 실데이터,5,219,0,14.054,딥러닝 우세
D1 실데이터,5,219,1,9.021,딥러닝 우세
D1 실데이터,5,221,0,6.991,딥러닝 우세
D1 실데이터,5,221,1,7.29,딥러닝 우세
D1 실데이터,5,222,0,2.639,딥러닝 우세
D1 실데이터,5,222,1,-16.93,front-end 우세
D1 실데이터,5,228,0,-11.903,front-end 우세
D1 실데이터,5,228,1,1.755,딥러닝 우세
D1 실데이터,5,231,0,7.531,딥러닝 우세
D1 실데이터,5,231,1,2.008,딥러닝 우세
D1 실데이터,5,232,0,7.509,딥러닝 우세
D1 실데이터,5,232,1,-2.272,front-end 우세
D1 실데이터,5,233,0,11.974,딥러닝 우세
D1 실데이터,5,233,1,12.462,딥러닝 우세
D1 실데이터,5,234,0,12.958,딥러닝 우세
D1 실데이터,5,234,1,8.932,딥러닝 우세
D1 실데이터,10,100,0,-4.482,front-end 우세
D1 실데이터,10,100,1,1.297,딥러닝 우세
D1 실데이터,10,103,0,-2.205,front-end 우세
D1 실데이터,10,103,1,-5.171,front-end 우세
D1 실데이터,10,105,0,12.472,딥러닝 우세
D1 실데이터,10,105,1,-18.972,front-end 우세
D1 실데이터,10,111,0,-1.5,front-end 우세
D1 실데이터,10,111,1,7.415,딥러닝 우세
D1 실데이터,10,113,0,10.538,딥러닝 우세
