axis,axis_tag,noise,method,snr_in_db,snr_imp_db
D0 합성,d0,전원선 60Hz,M10,10,12.765
D0 합성,d0,전원선 60Hz,M_FE,10,19.378
D1 실데이터,d1,백색잡음,B01,10,12.804
D1 실데이터,d1,백색잡음,B02,10,8.933
D1 실데이터,d1,백색잡음,M00,10,1.156
D1 실데이터,d1,백색잡음,M01,10,8.23
D1 실데이터,d1,백색잡음,M02,10,7.934
D1 실데이터,d1,백색잡음,M03,10,6.829
D1 실데이터,d1,백색잡음,M04,10,6.872
D1 실데이터,d1,백색잡음,M04np,10,6.872
D1 실데이터,d1,백색잡음,M05,10,7.407
D1 실데이터,d1,백색잡음,M05f,10,5.931
D1 실데이터,d1,백색잡음,M06,10,10.156
D1 실데이터,d1,백색잡음,M07,10,10.024
D1 실데이터,d1,백색잡음,M08,10,10.441
D1 실데이터,d1,백색잡음,M09,10,9.749
D1 실데이터,d1,백색잡음,M10,10,9.184
D1 실데이터,d1,백색잡음,M_FE,10,4.504
D1 실데이터,d1,기저선 변동,B01,10,24.704
D1 실데이터,d1,기저선 변동,B02,10,25.366
D1 실데이터,d1,기저선 변동,M00,10,1.115
D1 실데이터,d1,기저선 변동,M01,10,19.193
D1 실데이터,d1,기저선 변동,M02,10,12.872
D1 실데이터,d1,기저선 변동,M03,10,14.543
D1 실데이터,d1,기저선 변동,M04,10,23.919
D1 실데이터,d1,기저선 변동,M04np,10,23.919
D1 실데이터,d1,기저선 변동,M05,10,12.21
D1 실데이터,d1,기저선 변동,M05f,10,11.005
D1 실데이터,d1,기저선 변동,M06,10,15.236
D1 실데이터,d1,기저선 변동,M07,10,13.618
D1 실데이터,d1,기저선 변동,M08,10,16.516
D1 실데이터,d1,기저선 변동,M09,10,15.911
D1 실데이터,d1,기저선 변동,M10,10,14.042
D1 실데이터,d1,기저선 변동,M_FE,10,24.704
D1 실데이터,d1,전극 움직임(EM),B01,10,10.206
D1 실데이터,d1,전극 움직임(EM),B02,10,11.194
D1 실데이터,d1,전극 움직임(EM),M00,10,1.186
D1 실데이터,d1,전극 움직임(EM),M01,10,9.667
D1 실데이터,d1,전극 움직임(EM),M02,10,7.967
D1 실데이터,d1,전극 움직임(EM),M03,10,8.673
D1 실데이터,d1,전극 움직임(EM),M04,10,10.092
D1 실데이터,d1,전극 움직임(EM),M04np,10,10.092
D1 실데이터,d1,전극 움직임(EM),M05,10,8.065
D1 실데이터,d1,전극 움직임(EM),M05f,10,7.487
D1 실데이터,d1,전극 움직임(EM),M06,10,11.355
D1 실데이터,d1,전극 움직임(EM),M07,10,10.48
D1 실데이터,d1,전극 움직임(EM),M08,10,11.419
D1 실데이터,d1,전극 움직임(EM),M09,10,11.128
D1 실데이터,d1,전극 움직임(EM),M10,10,11.551
D1 실데이터,d1,전극 움직임(EM),M_FE,10,10.117
D1 실데이터,d1,임펄스,B01,10,11.811
D1 실데이터,d1,임펄스,B02,10,6.934
D1 실데이터,d1,임펄스,M00,10,1.178
D1 실데이터,d1,임펄스,M01,10,5.149
D1 실데이터,d1,임펄스,M02,10,6.222
D1 실데이터,d1,임펄스,M03,10,3.685
D1 실데이터,d1,임펄스,M04,10,3.559
D1 실데이터,d1,임펄스,M04np,10,3.559
D1 실데이터,d1,임펄스,M05,10,6.5
D1 실데이터,d1,임펄스,M05f,10,4.783
D1 실데이터,d1,임펄스,M06,10,13.654
D1 실데이터,d1,임펄스,M07,10,12.201
D1 실데이터,d1,임펄스,M08,10,13.692
D1 실데이터,d1,임펄스,M09,10,13.851
D1 실데이터,d1,임펄스,M10,10,12.608
D1 실데이터,d1,임펄스,M_FE,10,3.559
D1 실데이터,d1,근전도(MA),B01,10,17.06
D1 실데이터,d1,근전도(MA),B02,10,12.567
D1 실데이터,d1,근전도(MA),M00,10,1.152
D1 실데이터,d1,근전도(MA),M01,10,10.426
D1 실데이터,d1,근전도(MA),M02,10,10.684
D1 실데이터,d1,근전도(MA),M03,10,8.767
D1 실데이터,d1,근전도(MA),M04,10,4.289
D1 실데이터,d1,근전도(MA),M04np,10,4.289
