axis,axis_tag,model,noise,snr_db,delta_db,p_holm,verdict
D0 합성,d0,M08,근전도(MA),15,1.953,2.0014831534354016e-06,이득
D0 합성,d0,M08,전극 움직임(EM),15,1.989,2.2811207145423396e-07,이득
D0 합성,d0,M08,임펄스,15,0.284,0.4869985583086418,n.s.
D0 합성,d0,M08,혼합,15,2.088,8.813260717488447e-05,이득
D0 합성,d0,M08,백색잡음,20,0.789,0.0018519925074542698,이득
D0 합성,d0,M08,전원선 60Hz,20,12.891,3.979039320256561e-12,이득
D0 합성,d0,M08,기저선 변동,20,10.822,3.979039320256561e-12,이득
D0 합성,d0,M08,근전도(MA),20,3.361,1.4349552657222375e-08,이득
D0 합성,d0,M08,전극 움직임(EM),20,3.356,1.2360601431282703e-08,이득
D0 합성,d0,M08,임펄스,20,1.752,5.329060968506383e-06,이득
D0 합성,d0,M08,혼합,20,3.648,4.810658538190182e-08,이득
D0 합성,d0,M08,백색잡음,25,3.323,2.17801243707072e-09,이득
D0 합성,d0,M08,전원선 60Hz,25,13.434,3.979039320256561e-12,이득
D0 합성,d0,M08,기저선 변동,25,13.648,3.979039320256561e-12,이득
D0 합성,d0,M08,근전도(MA),25,5.706,6.252776074688882e-11,이득
D0 합성,d0,M08,전극 움직임(EM),25,5.574,6.252776074688882e-11,이득
D0 합성,d0,M08,임펄스,25,3.679,1.724401954561472e-09,이득
D0 합성,d0,M08,혼합,25,5.995,1.0470557754160836e-10,이득
D1 실데이터,d1,M06,백색잡음,-5,-0.274,5.138645065017045e-10,손해
D1 실데이터,d1,M06,전원선 60Hz,-5,1.512,1.7761012713890523e-06,이득
D1 실데이터,d1,M06,기저선 변동,-5,-0.808,0.0004567337889511691,손해
D1 실데이터,d1,M06,근전도(MA),-5,-0.532,1.4900479072821327e-07,손해
D1 실데이터,d1,M06,전극 움직임(EM),-5,-3.844,7.958078640513122e-13,손해
D1 실데이터,d1,M06,임펄스,-5,-3.69,1.2960299500264227e-11,손해
D1 실데이터,d1,M06,혼합,-5,-1.285,2.1006287624913966e-06,손해
D1 실데이터,d1,M06,백색잡음,0,-0.288,1.6390345081163105e-06,손해
D1 실데이터,d1,M06,전원선 60Hz,0,1.899,4.468813585845055e-06,이득
D1 실데이터,d1,M06,기저선 변동,0,0.391,0.8421116274603264,n.s.
D1 실데이터,d1,M06,근전도(MA),0,0.027,0.8421116274603264,n.s.
D1 실데이터,d1,M06,전극 움직임(EM),0,-2.037,1.0902567737502977e-10,손해
D1 실데이터,d1,M06,임펄스,0,-0.418,0.3352402560021801,n.s.
D1 실데이터,d1,M06,혼합,0,-0.599,0.00025903049663611455,손해
D1 실데이터,d1,M06,백색잡음,5,-0.137,0.32730100793241945,n.s.
D1 실데이터,d1,M06,전원선 60Hz,5,2.28,6.30188628747419e-06,이득
D1 실데이터,d1,M06,기저선 변동,5,2.181,5.3137626991883735e-06,이득
D1 실데이터,d1,M06,근전도(MA),5,0.561,7.723046962837543e-05,이득
D1 실데이터,d1,M06,전극 움직임(EM),5,-1.038,7.723046962837543e-05,손해
D1 실데이터,d1,M06,임펄스,5,0.326,0.32730100793241945,n.s.
D1 실데이터,d1,M06,혼합,5,-0.011,0.32730100793241945,n.s.
D1 실데이터,d1,M06,백색잡음,10,0.356,6.178437570270034e-05,이득
D1 실데이터,d1,M06,전원선 60Hz,10,4.0,1.1497832019813359e-08,이득
D1 실데이터,d1,M06,기저선 변동,10,4.556,6.921140993654262e-09,이득
D1 실데이터,d1,M06,근전도(MA),10,1.217,7.955077307997271e-07,이득
D1 실데이터,d1,M06,전극 움직임(EM),10,-0.427,0.07793096271973354,n.s.
D1 실데이터,d1,M06,임펄스,10,0.801,0.11165233987776446,n.s.
D1 실데이터,d1,M06,혼합,10,0.727,0.7506534659906947,n.s.
D1 실데이터,d1,M06,백색잡음,15,0.846,2.177655915147625e-06,이득
D1 실데이터,d1,M06,전원선 60Hz,15,6.503,1.180183062388096e-09,이득
D1 실데이터,d1,M06,기저선 변동,15,7.211,1.180183062388096e-09,이득
D1 실데이터,d1,M06,근전도(MA),15,1.87,5.151036930328701e-08,이득
D1 실데이터,d1,M06,전극 움직임(EM),15,0.689,0.0748677049273283,n.s.
D1 실데이터,d1,M06,임펄스,15,1.189,0.0748677049273283,n.s.
D1 실데이터,d1,M06,혼합,15,1.907,0.004262514056108557,이득
