stage,sigma_source,mode,protect,k,mean,min
2,d2,garrote,True,"(2.5, 2.0, 0.6, 1.0, 0.6)",10.724767228112471,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 1.3, 0.6)",10.513758649211153,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 1.6, 0.6)",10.301074705985448,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 2.0, 0.6)",10.027707940783934,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 2.5, 0.6)",9.71307559991297,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.1)",11.108829969385093,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.2)",11.121250989905157,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.3)",11.121586873939492,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.4)",11.106163410061702,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.6)",11.01945262258688,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.8)",10.864877368876753,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 1.0)",10.662714930935003,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 1.3)",10.321457411955194,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 1.6)",9.970989519864737,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 2.0)",9.514551171932569,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 2.5)",8.981737548995433,
2,d2,garrote,True,"(0.1, 2.0, 0.6, 0.4, 0.3)",9.53366427285097,
2,d2,garrote,True,"(0.2, 2.0, 0.6, 0.4, 0.3)",10.133044383280694,
2,d2,garrote,True,"(0.3, 2.0, 0.6, 0.4, 0.3)",10.313619838636509,
2,d2,garrote,True,"(0.4, 2.0, 0.6, 0.4, 0.3)",10.394544132882222,
2,d2,garrote,True,"(0.6, 2.0, 0.6, 0.4, 0.3)",10.501573262803232,
2,d2,garrote,True,"(0.8, 2.0, 0.6, 0.4, 0.3)",10.598549592006215,
2,d2,garrote,True,"(1.0, 2.0, 0.6, 0.4, 0.3)",10.689424426476162,
2,d2,garrote,True,"(1.3, 2.0, 0.6, 0.4, 0.3)",10.810931265506197,
2,d2,garrote,True,"(1.6, 2.0, 0.6, 0.4, 0.3)",10.913718414886304,
2,d2,garrote,True,"(2.0, 2.0, 0.6, 0.4, 0.3)",11.023095172413207,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.3)",11.121586873939492,
2,d2,garrote,True,"(2.5, 0.1, 0.6, 0.4, 0.3)",10.426185488018339,
2,d2,garrote,True,"(2.5, 0.2, 0.6, 0.4, 0.3)",10.811520038420088,
2,d2,garrote,True,"(2.5, 0.3, 0.6, 0.4, 0.3)",10.995469824624525,
2,d2,garrote,True,"(2.5, 0.4, 0.6, 0.4, 0.3)",11.078546053128619,
2,d2,garrote,True,"(2.5, 0.6, 0.6, 0.4, 0.3)",11.107348441865927,
2,d2,garrote,True,"(2.5, 0.8, 0.6, 0.4, 0.3)",11.103159964941685,
2,d2,garrote,True,"(2.5, 1.0, 0.6, 0.4, 0.3)",11.102174942744469,
2,d2,garrote,True,"(2.5, 1.3, 0.6, 0.4, 0.3)",11.109327799937537,
2,d2,garrote,True,"(2.5, 1.6, 0.6, 0.4, 0.3)",11.117931609802895,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.3)",11.121586873939492,
2,d2,garrote,True,"(2.5, 2.5, 0.6, 0.4, 0.3)",11.103883533421751,
2,d2,garrote,True,"(2.5, 2.0, 0.1, 0.4, 0.3)",10.791492535546936,
2,d2,garrote,True,"(2.5, 2.0, 0.2, 0.4, 0.3)",10.944108064471433,
2,d2,garrote,True,"(2.5, 2.0, 0.3, 0.4, 0.3)",11.049489901654225,
2,d2,garrote,True,"(2.5, 2.0, 0.4, 0.4, 0.3)",11.10173388658132,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.3)",11.121586873939492,
2,d2,garrote,True,"(2.5, 2.0, 0.8, 0.4, 0.3)",11.096377323629886,
2,d2,garrote,True,"(2.5, 2.0, 1.0, 0.4, 0.3)",11.041533155934129,
2,d2,garrote,True,"(2.5, 2.0, 1.3, 0.4, 0.3)",10.920020531226006,
2,d2,garrote,True,"(2.5, 2.0, 1.6, 0.4, 0.3)",10.764965534848724,
2,d2,garrote,True,"(2.5, 2.0, 2.0, 0.4, 0.3)",10.54486185045358,
2,d2,garrote,True,"(2.5, 2.0, 2.5, 0.4, 0.3)",10.274024063083397,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.1, 0.3)",11.019576926567993,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.2, 0.3)",11.076139055426617,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.3, 0.3)",11.112924030308655,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.3)",11.121586873939492,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.6, 0.3)",11.067195241874295,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.8, 0.3)",10.95237956014608,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 1.0, 0.3)",10.8149358089967,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 1.3, 0.3)",10.590845717807147,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 1.6, 0.3)",10.365629838668909,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 2.0, 0.3)",10.078049911027211,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 2.5, 0.3)",9.749302599408388,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.1)",11.108829969385093,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.2)",11.121250989905157,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.3)",11.121586873939492,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.4)",11.106163410061702,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.6)",11.01945262258688,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 0.8)",10.864877368876753,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 1.0)",10.662714930935003,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 1.3)",10.321457411955194,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 1.6)",9.970989519864737,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 2.0)",9.514551171932569,
2,d2,garrote,True,"(2.5, 2.0, 0.6, 0.4, 2.5)",8.981737548995433,
