epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008915,0.004402,-1.531596,-1.896495,0.964757,25.726170
2,0.000659,0.003289,0.002708,0.777778,0.454154,1.000994,25.328441
3,0.000993,0.002520,0.002415,0.566598,0.155754,1.025119,25.968172
4,0.000999,0.002185,0.002031,2.108426,1.880395,0.995270,25.517618
5,0.000997,0.002074,0.001704,2.154516,2.004292,0.986723,25.358721
6,0.000993,0.001808,0.001999,1.613131,1.216600,1.033748,25.868484
7,0.000988,0.001736,0.001741,2.966356,2.429799,1.014945,25.351215
8,0.000981,0.001590,0.001606,2.995911,2.791928,1.004905,26.105707
9,0.000973,0.001571,0.001806,1.712210,1.500025,1.021969,25.516713
10,0.000963,0.001656,0.001783,1.966752,1.705871,1.009472,25.702048
11,0.000952,0.001631,0.001543,3.332626,3.202531,0.990235,25.556728
12,0.000940,0.001862,0.001538,2.784580,2.653585,0.994978,26.011211
13,0.000926,0.001492,0.001451,3.267771,3.155209,0.997913,25.380980
14,0.000911,0.001405,0.001577,2.389182,2.275859,1.002614,25.583163
15,0.000895,0.001504,0.001581,3.534878,3.364526,0.984945,25.831980
16,0.000877,0.001497,0.001387,3.698560,3.514997,1.009746,25.432696
17,0.000859,0.001455,0.001475,3.057224,2.936264,0.999479,25.540423
18,0.000839,0.001342,0.001641,2.721131,2.568292,1.016565,25.482268
19,0.000818,0.001395,0.001409,3.560014,3.407923,0.994645,25.495747
20,0.000797,0.001297,0.001347,4.056986,3.845716,1.014865,25.663088
21,0.000774,0.001333,0.001507,3.037718,2.945455,1.007080,25.169136
22,0.000751,0.001300,0.001584,2.656704,2.530068,1.006767,26.079847
23,0.000726,0.001143,0.001335,3.713129,3.609944,1.000572,25.242912
24,0.000701,0.001275,0.001640,2.429895,2.215591,1.025373,25.774958
25,0.000676,0.001265,0.001287,4.241646,4.073452,0.989207,25.513486
26,0.000650,0.001224,0.001246,3.910173,3.703902,1.013341,25.488790
27,0.000623,0.001168,0.001309,3.839819,3.548852,1.014797,25.503728
28,0.000596,0.001313,0.001306,3.763410,3.572023,0.999262,25.358788
29,0.000569,0.001153,0.001412,3.481565,3.339579,1.011811,25.560663
30,0.000542,0.001168,0.001282,3.519001,3.262073,1.018824,25.719663
31,0.000514,0.001214,0.001266,3.664701,3.480707,1.010648,25.969320
32,0.000487,0.001131,0.001551,3.103114,2.805041,1.029937,25.473463
33,0.000459,0.001138,0.002019,1.628115,1.400620,1.030059,26.007931
34,0.000432,0.001093,0.001261,3.595237,3.424544,1.014083,25.671907
35,0.000405,0.001056,0.001189,4.181956,3.989596,1.011421,25.278335
36,0.000378,0.001053,0.001113,4.307635,4.152097,1.008933,25.512756
37,0.000351,0.001042,0.001210,4.002895,3.810823,1.013684,25.389886
38,0.000325,0.001125,0.001172,4.301913,4.146970,1.013371,25.907525
39,0.000300,0.001110,0.001404,3.851547,3.711127,1.003031,25.576563
40,0.000275,0.000982,0.001158,4.132225,3.902998,1.018512,25.743451
41,0.000251,0.000991,0.001489,2.909364,2.564527,1.032085,25.631586
42,0.000227,0.000985,0.001202,3.877428,3.715540,1.014746,25.318185
43,0.000204,0.000921,0.001388,2.985272,2.821607,1.018179,25.402296
44,0.000183,0.001031,0.001295,3.308344,3.139969,1.014992,25.317851
45,0.000162,0.000891,0.001276,3.804370,3.638980,1.016979,26.105512
46,0.000142,0.000925,0.001210,3.906559,3.758096,1.011625,25.571512
47,0.000123,0.000884,0.001139,4.055903,3.901359,1.011365,26.270476
48,0.000106,0.000964,0.001203,3.926753,3.781544,1.012477,25.766324
