method,snr_in,metric,mean,std,n_records,loss,model,frontend,ckpt_git
M06-L1,0.0,beat_cc,0.9929317820724414,0.01621983674099616,22,L1,resunet1d,True,bdc7b90
M06-L2,0.0,beat_cc,0.9932064745030336,0.0142109584056885,22,L2,resunet1d,True,bdc7b90
M06-L3,0.0,beat_cc,0.9937197096181621,0.014053653183941693,22,L3,resunet1d,True,bdc7b90
M06-L5,0.0,beat_cc,0.9913644095965111,0.021439079762041634,22,L5,resunet1d,True,b8d3816
M06-L6,0.0,beat_cc,0.991432662236659,0.022143927137690235,22,L6,resunet1d,True,a3aabd4
M08-L1,0.0,beat_cc,0.9945891641315773,0.009881697860015734,22,L1,wavelet_unet,True,bdc7b90
M08-L3,0.0,beat_cc,0.9863393809569433,0.04788051874593379,22,L3,wavelet_unet,True,bdc7b90
M08-L4,0.0,beat_cc,0.97714371639029,0.09209679734386175,22,L4,wavelet_unet,True,bdc7b90
M08-L5,0.0,beat_cc,0.9565008653844572,0.184878519372912,22,L5,wavelet_unet,True,5a77e1f
M08-L6,0.0,beat_cc,0.9890018649583271,0.02435771004868416,22,L6,wavelet_unet,True,a7413c7
M_FE,0.0,beat_cc,0.9958145248131693,0.0026292575637383788,22,,,,
M06-L1,10.0,beat_cc,0.9945751202777866,0.015901386198639008,22,L1,resunet1d,True,bdc7b90
M06-L2,10.0,beat_cc,0.9955197248185218,0.013655022956171717,22,L2,resunet1d,True,bdc7b90
M06-L3,10.0,beat_cc,0.9962633466302461,0.011442427399087367,22,L3,resunet1d,True,bdc7b90
M06-L5,10.0,beat_cc,0.9953600482383952,0.013568791008316042,22,L5,resunet1d,True,b8d3816
M06-L6,10.0,beat_cc,0.9942697292910411,0.021373532837519832,22,L6,resunet1d,True,a3aabd4
M08-L1,10.0,beat_cc,0.996711006478494,0.010107802552335452,22,L1,wavelet_unet,True,bdc7b90
M08-L3,10.0,beat_cc,0.9887523934051735,0.045880865270701544,22,L3,wavelet_unet,True,bdc7b90
M08-L4,10.0,beat_cc,0.9778790212110219,0.09866051942989944,22,L4,wavelet_unet,True,bdc7b90
M08-L5,10.0,beat_cc,0.9568901448210924,0.1960780755991548,22,L5,wavelet_unet,True,5a77e1f
M08-L6,10.0,beat_cc,0.9934867788855446,0.022250402196706032,22,L6,wavelet_unet,True,a7413c7
M_FE,10.0,beat_cc,0.9995717858092426,0.0002714458722789816,22,,,,
M06-L1,20.0,beat_cc,0.9946089142578439,0.016731689047578834,22,L1,resunet1d,True,bdc7b90
M06-L2,20.0,beat_cc,0.9959042806578757,0.013547210756303696,22,L2,resunet1d,True,bdc7b90
M06-L3,20.0,beat_cc,0.9966336881404214,0.011014845825787383,22,L3,resunet1d,True,bdc7b90
M06-L5,20.0,beat_cc,0.9958537453638183,0.013242371384320177,22,L5,resunet1d,True,b8d3816
M06-L6,20.0,beat_cc,0.994721838575441,0.02194392723775321,22,L6,resunet1d,True,a3aabd4
M08-L1,20.0,beat_cc,0.9970274913364624,0.009904063652047462,22,L1,wavelet_unet,True,bdc7b90
M08-L3,20.0,beat_cc,0.9894531281170512,0.04435209146468844,22,L3,wavelet_unet,True,bdc7b90
M08-L4,20.0,beat_cc,0.9784761616794024,0.09764738498191709,22,L4,wavelet_unet,True,bdc7b90
M08-L5,20.0,beat_cc,0.9571450335691243,0.19775148597392872,22,L5,wavelet_unet,True,5a77e1f
M08-L6,20.0,beat_cc,0.9949708187414601,0.022118723984204426,22,L6,wavelet_unet,True,a7413c7
M_FE,20.0,beat_cc,0.9999551472623002,2.8074914968290223e-05,22,,,,
M06-L1,0.0,qrs_dur_err_ms,17.225731708011324,12.638746888989825,21,L1,resunet1d,True,bdc7b90
M06-L2,0.0,qrs_dur_err_ms,15.957913400172401,14.789928340109201,21,L2,resunet1d,True,bdc7b90
M06-L3,0.0,qrs_dur_err_ms,15.944840450785854,14.877628023361483,21,L3,resunet1d,True,bdc7b90
M06-L5,0.0,qrs_dur_err_ms,14.355616001284684,13.144272692144428,21,L5,resunet1d,True,b8d3816
M06-L6,0.0,qrs_dur_err_ms,15.60327946810809,14.050251606504068,21,L6,resunet1d,True,a3aabd4
M08-L1,0.0,qrs_dur_err_ms,16.14024038405926,12.638681999114734,21,L1,wavelet_unet,True,bdc7b90
M08-L3,0.0,qrs_dur_err_ms,16.86263541252364,13.131981128407078,21,L3,wavelet_unet,True,bdc7b90
M08-L4,0.0,qrs_dur_err_ms,15.670570432331948,12.677711032713066,21,L4,wavelet_unet,True,bdc7b90
M08-L5,0.0,qrs_dur_err_ms,17.909304804783776,14.629214753380758,21,L5,wavelet_unet,True,5a77e1f
M08-L6,0.0,qrs_dur_err_ms,17.586533064136464,11.97344450741539,21,L6,wavelet_unet,True,a7413c7
M_FE,0.0,qrs_dur_err_ms,18.151179834549183,14.348990945571034,21,,,,
M06-L1,10.0,qrs_dur_err_ms,15.12562478050568,14.62881597771712,21,L1,resunet1d,True,bdc7b90
M06-L2,10.0,qrs_dur_err_ms,12.04709022706283,16.116567098946533,21,L2,resunet1d,True,bdc7b90
M06-L3,10.0,qrs_dur_err_ms,13.075788068654983,16.661827587442964,21,L3,resunet1d,True,bdc7b90
M06-L5,10.0,qrs_dur_err_ms,9.907373649578759,10.457875184544523,21,L5,resunet1d,True,b8d3816
M06-L6,10.0,qrs_dur_err_ms,11.527521787461716,14.671399354314799,21,L6,resunet1d,True,a3aabd4
